 a		phi		phidot		fde		w	1+z	fmatter	frad
    0.116738E-06    0.226653E+00   -0.758148E-23    0.149577E-23   -0.100000E+01    0.856617E+07    0.397462E-03    0.999603E+00
    0.117115E-06    0.226653E+00   -0.775097E-23    0.151518E-23   -0.100000E+01    0.853859E+07    0.398745E-03    0.999601E+00
    0.117494E-06    0.226653E+00   -0.792119E-23    0.153485E-23   -0.100000E+01    0.851111E+07    0.400032E-03    0.999600E+00
    0.117873E-06    0.226653E+00   -0.809215E-23    0.155477E-23   -0.100000E+01    0.848371E+07    0.401324E-03    0.999599E+00
    0.118254E-06    0.226653E+00   -0.826386E-23    0.157495E-23   -0.100000E+01    0.845640E+07    0.402619E-03    0.999597E+00
    0.118636E-06    0.226653E+00   -0.843635E-23    0.159539E-23   -0.100000E+01    0.842918E+07    0.403919E-03    0.999596E+00
    0.119019E-06    0.226653E+00   -0.860962E-23    0.161610E-23   -0.100000E+01    0.840204E+07    0.405223E-03    0.999595E+00
    0.119403E-06    0.226653E+00   -0.878371E-23    0.163707E-23   -0.100000E+01    0.837500E+07    0.406531E-03    0.999593E+00
    0.119789E-06    0.226653E+00   -0.895861E-23    0.165832E-23   -0.100000E+01    0.834804E+07    0.407843E-03    0.999592E+00
    0.120176E-06    0.226653E+00   -0.913435E-23    0.167984E-23   -0.100000E+01    0.832116E+07    0.409160E-03    0.999591E+00
    0.120564E-06    0.226653E+00   -0.931095E-23    0.170165E-23   -0.100000E+01    0.829438E+07    0.410481E-03    0.999590E+00
    0.120953E-06    0.226653E+00   -0.948841E-23    0.172373E-23   -0.100000E+01    0.826768E+07    0.411806E-03    0.999588E+00
    0.121344E-06    0.226653E+00   -0.966677E-23    0.174611E-23   -0.100000E+01    0.824106E+07    0.413135E-03    0.999587E+00
    0.121735E-06    0.226653E+00   -0.984603E-23    0.176877E-23   -0.100000E+01    0.821453E+07    0.414469E-03    0.999586E+00
    0.122129E-06    0.226653E+00   -0.100262E-22    0.179173E-23   -0.100000E+01    0.818809E+07    0.415807E-03    0.999584E+00
    0.122523E-06    0.226653E+00   -0.102073E-22    0.181498E-23   -0.100000E+01    0.816173E+07    0.417149E-03    0.999583E+00
    0.122919E-06    0.226653E+00   -0.103894E-22    0.183854E-23   -0.100000E+01    0.813546E+07    0.418496E-03    0.999582E+00
    0.123316E-06    0.226653E+00   -0.105724E-22    0.186240E-23   -0.100000E+01    0.810927E+07    0.419847E-03    0.999580E+00
    0.123714E-06    0.226653E+00   -0.107565E-22    0.188657E-23   -0.100000E+01    0.808317E+07    0.421202E-03    0.999579E+00
    0.124113E-06    0.226653E+00   -0.109415E-22    0.191106E-23   -0.100000E+01    0.805715E+07    0.422562E-03    0.999577E+00
    0.124514E-06    0.226653E+00   -0.111276E-22    0.193586E-23   -0.100000E+01    0.803121E+07    0.423926E-03    0.999576E+00
    0.124916E-06    0.226653E+00   -0.113147E-22    0.196099E-23   -0.100000E+01    0.800536E+07    0.425294E-03    0.999575E+00
    0.125320E-06    0.226653E+00   -0.115028E-22    0.198644E-23   -0.100000E+01    0.797959E+07    0.426667E-03    0.999573E+00
    0.125724E-06    0.226653E+00   -0.116921E-22    0.201222E-23   -0.100000E+01    0.795390E+07    0.428044E-03    0.999572E+00
    0.126131E-06    0.226653E+00   -0.118824E-22    0.203834E-23   -0.100000E+01    0.792830E+07    0.429426E-03    0.999571E+00
    0.126538E-06    0.226653E+00   -0.120739E-22    0.206480E-23   -0.100000E+01    0.790277E+07    0.430812E-03    0.999569E+00
    0.126946E-06    0.226653E+00   -0.122664E-22    0.209160E-23   -0.100000E+01    0.787733E+07    0.432203E-03    0.999568E+00
    0.127356E-06    0.226653E+00   -0.124602E-22    0.211874E-23   -0.100000E+01    0.785198E+07    0.433598E-03    0.999566E+00
    0.127768E-06    0.226653E+00   -0.126550E-22    0.214624E-23   -0.100000E+01    0.782670E+07    0.434998E-03    0.999565E+00
    0.128180E-06    0.226653E+00   -0.128511E-22    0.217410E-23   -0.100000E+01    0.780151E+07    0.436402E-03    0.999564E+00
    0.128594E-06    0.226653E+00   -0.130484E-22    0.220232E-23   -0.100000E+01    0.777639E+07    0.437811E-03    0.999562E+00
    0.129010E-06    0.226653E+00   -0.132469E-22    0.223090E-23   -0.100000E+01    0.775136E+07    0.439224E-03    0.999561E+00
    0.129426E-06    0.226653E+00   -0.134466E-22    0.225986E-23   -0.100000E+01    0.772641E+07    0.440642E-03    0.999559E+00
    0.129844E-06    0.226653E+00   -0.136476E-22    0.228919E-23   -0.100000E+01    0.770154E+07    0.442064E-03    0.999558E+00
    0.130264E-06    0.226653E+00   -0.138499E-22    0.231890E-23   -0.100000E+01    0.767674E+07    0.443491E-03    0.999557E+00
    0.130684E-06    0.226653E+00   -0.140534E-22    0.234900E-23   -0.100000E+01    0.765203E+07    0.444923E-03    0.999555E+00
    0.131106E-06    0.226653E+00   -0.142583E-22    0.237949E-23   -0.100000E+01    0.762740E+07    0.446359E-03    0.999554E+00
    0.131530E-06    0.226653E+00   -0.144645E-22    0.241037E-23   -0.100000E+01    0.760285E+07    0.447800E-03    0.999552E+00
    0.131954E-06    0.226653E+00   -0.146721E-22    0.244165E-23   -0.100000E+01    0.757837E+07    0.449246E-03    0.999551E+00
    0.132381E-06    0.226653E+00   -0.148810E-22    0.247334E-23   -0.100000E+01    0.755398E+07    0.450696E-03    0.999549E+00
    0.132808E-06    0.226653E+00   -0.150914E-22    0.250545E-23   -0.100000E+01    0.752966E+07    0.452151E-03    0.999548E+00
    0.133237E-06    0.226653E+00   -0.153031E-22    0.253796E-23   -0.100000E+01    0.750542E+07    0.453610E-03    0.999546E+00
    0.133667E-06    0.226653E+00   -0.155163E-22    0.257090E-23   -0.100000E+01    0.748126E+07    0.455074E-03    0.999545E+00
