 initial_phi	Omega_de
   0.209000E-18   0.306910+120
   0.210000E-18   0.306910+120
   0.211000E-18   0.306910+120
   0.212000E-18   0.306910+120
   0.213000E-18   0.306910+120
   0.214000E-18   0.306910+120
   0.215000E-18   0.306910+120
   0.216000E-18   0.306910+120
   0.217000E-18   0.306910+120
   0.218000E-18   0.306910+120
   0.219000E-18   0.306910+120
   0.220000E-18   0.306910+120
   0.221000E-18   0.306910+120
   0.222000E-18   0.306910+120
   0.223000E-18   0.306910+120
   0.224000E-18   0.306910+120
   0.225000E-18   0.306910+120
   0.226000E-18   0.306910+120
   0.227000E-18   0.306910+120
   0.228000E-18   0.306910+120
   0.229000E-18   0.306910+120
   0.230000E-18   0.306910+120
   0.231000E-18   0.306910+120
   0.232000E-18   0.306910+120
   0.233000E-18   0.306910+120
   0.234000E-18   0.306910+120
   0.235000E-18   0.306910+120
   0.236000E-18   0.306910+120
   0.237000E-18   0.306910+120
   0.238000E-18   0.306910+120
   0.239000E-18   0.306910+120
   0.240000E-18   0.306910+120
   0.241000E-18   0.306910+120
   0.242000E-18   0.306910+120
   0.243000E-18   0.306910+120
   0.244000E-18   0.306910+120
   0.245000E-18   0.306910+120
   0.246000E-18   0.306910+120
   0.247000E-18   0.306910+120
   0.248000E-18   0.306910+120
   0.249000E-18   0.306910+120
   0.250000E-18   0.306910+120
   0.251000E-18   0.306910+120
   0.252000E-18   0.306910+120
   0.253000E-18   0.306910+120
   0.254000E-18   0.306910+120
   0.255000E-18   0.306910+120
   0.256000E-18   0.306910+120
   0.257000E-18   0.306910+120
   0.258000E-18   0.306910+120
   0.259000E-18   0.306910+120
   0.260000E-18   0.306910+120
   0.261000E-18   0.306910+120
   0.262000E-18   0.306910+120
   0.263000E-18   0.306910+120
   0.264000E-18   0.306910+120
   0.265000E-18   0.306910+120
   0.266000E-18   0.306910+120
   0.267000E-18   0.306910+120
   0.268000E-18   0.306910+120
   0.269000E-18   0.306910+120
   0.270000E-18   0.306910+120
   0.271000E-18   0.306910+120
   0.272000E-18   0.306910+120
   0.273000E-18   0.306910+120
   0.274000E-18   0.306910+120
