 initial_phi	Omega_de
   0.879000E-18   0.306910+120
   0.880000E-18   0.306910+120
   0.881000E-18   0.306910+120
   0.882000E-18   0.306910+120
   0.883000E-18   0.306910+120
   0.884000E-18   0.306910+120
   0.885000E-18   0.306910+120
   0.886000E-18   0.306910+120
   0.887000E-18   0.306910+120
   0.888000E-18   0.306910+120
   0.889000E-18   0.306910+120
   0.890000E-18   0.306910+120
   0.891000E-18   0.306910+120
   0.892000E-18   0.306910+120
   0.893000E-18   0.306910+120
   0.894000E-18   0.306910+120
   0.895000E-18   0.306910+120
   0.896000E-18   0.306910+120
   0.897000E-18   0.306910+120
   0.898000E-18   0.306910+120
   0.899000E-18   0.306910+120
   0.900000E-18   0.306910+120
   0.901000E-18   0.306910+120
   0.902000E-18   0.306910+120
   0.903000E-18   0.306910+120
   0.904000E-18   0.306910+120
   0.905000E-18   0.306910+120
   0.906000E-18   0.306910+120
   0.907000E-18   0.306910+120
   0.908000E-18   0.306910+120
   0.909000E-18   0.306910+120
   0.910000E-18   0.306910+120
   0.911000E-18   0.306910+120
   0.912000E-18   0.306910+120
   0.913000E-18   0.306910+120
   0.914000E-18   0.306910+120
   0.915000E-18   0.306910+120
   0.916000E-18   0.306910+120
   0.917000E-18   0.306910+120
   0.918000E-18   0.306910+120
   0.919000E-18   0.306910+120
   0.920000E-18   0.306910+120
   0.921000E-18   0.306910+120
   0.922000E-18   0.306910+120
   0.923000E-18   0.306910+120
   0.924000E-18   0.306910+120
   0.925000E-18   0.306910+120
   0.926000E-18   0.306910+120
   0.927000E-18   0.306910+120
   0.928000E-18   0.306910+120
   0.929000E-18   0.306910+120
   0.930000E-18   0.306910+120
   0.931000E-18   0.306910+120
   0.932000E-18   0.306910+120
   0.933000E-18   0.306910+120
   0.934000E-18   0.306910+120
   0.935000E-18   0.306910+120
   0.936000E-18   0.306910+120
   0.937000E-18   0.306910+120
   0.938000E-18   0.306910+120
   0.939000E-18   0.306910+120
   0.940000E-18   0.306910+120
   0.941000E-18   0.306910+120
   0.942000E-18   0.306910+120
   0.943000E-18   0.306910+120
   0.944000E-18   0.306910+120
   0.945000E-18   0.306910+120
   0.946000E-18   0.306910+120
   0.947000E-18   0.306910+120
   0.948000E-18   0.306910+120
   0.949000E-18   0.306910+120
   0.950000E-18   0.306910+120
   0.951000E-18   0.306910+120
   0.952000E-18   0.306910+120
   0.953000E-18   0.306910+120
   0.954000E-18   0.306910+120
   0.955000E-18   0.306910+120
   0.956000E-18   0.306910+120
   0.957000E-18   0.306910+120
   0.958000E-18   0.306910+120
   0.959000E-18   0.306910+120
   0.960000E-18   0.306910+120
   0.961000E-18   0.306910+120
   0.962000E-18   0.306910+120
   0.963000E-18   0.306910+120
   0.964000E-18   0.306910+120
   0.965000E-18   0.306910+120
   0.966000E-18   0.306910+120
   0.967000E-18   0.306910+120
   0.968000E-18   0.306910+120
   0.969000E-18   0.306910+120
   0.970000E-18   0.306910+120
   0.971000E-18   0.306910+120
   0.972000E-18   0.306910+120
   0.973000E-18   0.306910+120
   0.974000E-18   0.306910+120
   0.975000E-18   0.306910+120
   0.976000E-18   0.306910+120
   0.977000E-18   0.306910+120
   0.978000E-18   0.306910+120
   0.979000E-18   0.306910+120
   0.980000E-18   0.306910+120
   0.981000E-18   0.306910+120
   0.982000E-18   0.306910+120
   0.983000E-18   0.306910+120
   0.984000E-18   0.306910+120
   0.985000E-18   0.306910+120
   0.986000E-18   0.306910+120
   0.987000E-18   0.306910+120
   0.988000E-18   0.306910+120
   0.989000E-18   0.306910+120
   0.990000E-18   0.306910+120
   0.991000E-18   0.306910+120
   0.992000E-18   0.306910+120
   0.993000E-18   0.306910+120
   0.994000E-18   0.306910+120
   0.995000E-18   0.306910+120
   0.996000E-18   0.306910+120
   0.997000E-18   0.306910+120
   0.998000E-18   0.306910+120
   0.999000E-18   0.306910+120
   0.100000E-17   0.306910+120
   0.100100E-17   0.306910+120
   0.100200E-17   0.306910+120
   0.100300E-17   0.306910+120
   0.100400E-17   0.306910+120
   0.100500E-17   0.306910+120
   0.100600E-17   0.306910+120
   0.100700E-17   0.306910+120
   0.100800E-17   0.306910+120
   0.100900E-17   0.306910+120
   0.101000E-17   0.306910+120
