 a		phi		phidot		fde		w	1+z	fmatter	frad
    0.117115E-06    0.907807E+01    0.619586E-24    0.140822E-23   -0.100000E+01    0.853859E+07    0.397374E-03    0.999603E+00
    0.117494E-06    0.907807E+01    0.633193E-24    0.142649E-23   -0.100000E+01    0.851111E+07    0.398656E-03    0.999601E+00
    0.117873E-06    0.907807E+01    0.646859E-24    0.144501E-23   -0.100000E+01    0.848371E+07    0.399943E-03    0.999600E+00
    0.118254E-06    0.907807E+01    0.660585E-24    0.146376E-23   -0.100000E+01    0.845640E+07    0.401234E-03    0.999599E+00
    0.118636E-06    0.907807E+01    0.674373E-24    0.148276E-23   -0.100000E+01    0.842918E+07    0.402530E-03    0.999597E+00
    0.119019E-06    0.907807E+01    0.688224E-24    0.150201E-23   -0.100000E+01    0.840204E+07    0.403829E-03    0.999596E+00
    0.119403E-06    0.907807E+01    0.702140E-24    0.152150E-23   -0.100000E+01    0.837500E+07    0.405133E-03    0.999595E+00
    0.119789E-06    0.907807E+01    0.716121E-24    0.154125E-23   -0.100000E+01    0.834804E+07    0.406441E-03    0.999594E+00
    0.120176E-06    0.907807E+01    0.730169E-24    0.156126E-23   -0.100000E+01    0.832116E+07    0.407753E-03    0.999592E+00
    0.120564E-06    0.907807E+01    0.744286E-24    0.158152E-23   -0.100000E+01    0.829438E+07    0.409069E-03    0.999591E+00
    0.120953E-06    0.907807E+01    0.758472E-24    0.160205E-23   -0.100000E+01    0.826768E+07    0.410390E-03    0.999590E+00
    0.121344E-06    0.907807E+01    0.772729E-24    0.162284E-23   -0.100000E+01    0.824106E+07    0.411714E-03    0.999588E+00
    0.121735E-06    0.907807E+01    0.787058E-24    0.164390E-23   -0.100000E+01    0.821453E+07    0.413043E-03    0.999587E+00
    0.122129E-06    0.907807E+01    0.801461E-24    0.166524E-23   -0.100000E+01    0.818809E+07    0.414377E-03    0.999586E+00
    0.122523E-06    0.907807E+01    0.815939E-24    0.168685E-23   -0.100000E+01    0.816173E+07    0.415714E-03    0.999584E+00
    0.122919E-06    0.907807E+01    0.830493E-24    0.170875E-23   -0.100000E+01    0.813546E+07    0.417056E-03    0.999583E+00
    0.123316E-06    0.907807E+01    0.845125E-24    0.173092E-23   -0.100000E+01    0.810927E+07    0.418403E-03    0.999582E+00
    0.123714E-06    0.907807E+01    0.859836E-24    0.175339E-23   -0.100000E+01    0.808317E+07    0.419753E-03    0.999580E+00
    0.124113E-06    0.907807E+01    0.874628E-24    0.177615E-23   -0.100000E+01    0.805715E+07    0.421108E-03    0.999579E+00
    0.124514E-06    0.907807E+01    0.889501E-24    0.179920E-23   -0.100000E+01    0.803121E+07    0.422468E-03    0.999578E+00
    0.124916E-06    0.907807E+01    0.904458E-24    0.182255E-23   -0.100000E+01    0.800536E+07    0.423831E-03    0.999576E+00
    0.125320E-06    0.907807E+01    0.919499E-24    0.184621E-23   -0.100000E+01    0.797959E+07    0.425200E-03    0.999575E+00
    0.125724E-06    0.907807E+01    0.934626E-24    0.187017E-23   -0.100000E+01    0.795390E+07    0.426572E-03    0.999573E+00
    0.126131E-06    0.907807E+01    0.949841E-24    0.189444E-23   -0.100000E+01    0.792830E+07    0.427949E-03    0.999572E+00
    0.126538E-06    0.907807E+01    0.965144E-24    0.191903E-23   -0.100000E+01    0.790277E+07    0.429331E-03    0.999571E+00
    0.126946E-06    0.907807E+01    0.980538E-24    0.194394E-23   -0.100000E+01    0.787733E+07    0.430717E-03    0.999569E+00
    0.127356E-06    0.907807E+01    0.996023E-24    0.196917E-23   -0.100000E+01    0.785198E+07    0.432107E-03    0.999568E+00
    0.127768E-06    0.907807E+01    0.101160E-23    0.199473E-23   -0.100000E+01    0.782670E+07    0.433502E-03    0.999566E+00
    0.128180E-06    0.907807E+01    0.102727E-23    0.202062E-23   -0.100000E+01    0.780151E+07    0.434901E-03    0.999565E+00
    0.128594E-06    0.907807E+01    0.104304E-23    0.204685E-23   -0.100000E+01    0.777639E+07    0.436305E-03    0.999564E+00
    0.129010E-06    0.907807E+01    0.105891E-23    0.207341E-23   -0.100000E+01    0.775136E+07    0.437714E-03    0.999562E+00
    0.129426E-06    0.907807E+01    0.107488E-23    0.210032E-23   -0.100000E+01    0.772641E+07    0.439126E-03    0.999561E+00
    0.129844E-06    0.907807E+01    0.109094E-23    0.212758E-23   -0.100000E+01    0.770154E+07    0.440544E-03    0.999559E+00
    0.130264E-06    0.907807E+01    0.110711E-23    0.215520E-23   -0.100000E+01    0.767674E+07    0.441966E-03    0.999558E+00
    0.130684E-06    0.907807E+01    0.112338E-23    0.218317E-23   -0.100000E+01    0.765203E+07    0.443393E-03    0.999557E+00
    0.131106E-06    0.907807E+01    0.113976E-23    0.221151E-23   -0.100000E+01    0.762740E+07    0.444824E-03    0.999555E+00
    0.131530E-06    0.907807E+01    0.115625E-23    0.224021E-23   -0.100000E+01    0.760285E+07    0.446260E-03    0.999554E+00
    0.131954E-06    0.907807E+01    0.117284E-23    0.226928E-23   -0.100000E+01    0.757837E+07    0.447701E-03    0.999552E+00
    0.132381E-06    0.907807E+01    0.118954E-23    0.229874E-23   -0.100000E+01    0.755398E+07    0.449146E-03    0.999551E+00
    0.132808E-06    0.907807E+01    0.120635E-23    0.232857E-23   -0.100000E+01    0.752966E+07    0.450596E-03    0.999549E+00
    0.133237E-06    0.907807E+01    0.122328E-23    0.235880E-23   -0.100000E+01    0.750542E+07    0.452050E-03    0.999548E+00
    0.133667E-06    0.907807E+01    0.124032E-23    0.238941E-23   -0.100000E+01    0.748126E+07    0.453509E-03    0.999546E+00
    0.134099E-06    0.907807E+01    0.125747E-23    0.242042E-23   -0.100000E+01    0.745718E+07    0.454973E-03    0.999545E+00
    0.134532E-06    0.907807E+01    0.127475E-23    0.245184E-23   -0.100000E+01    0.743317E+07    0.456442E-03    0.999544E+00
    0.134967E-06    0.907807E+01    0.129214E-23    0.248366E-23   -0.100000E+01    0.740924E+07    0.457915E-03    0.999542E+00
    0.135402E-06    0.907807E+01    0.130966E-23    0.251590E-23   -0.100000E+01    0.738539E+07    0.459393E-03    0.999541E+00
    0.135840E-06    0.907807E+01    0.132729E-23    0.254855E-23   -0.100000E+01    0.736162E+07    0.460876E-03    0.999539E+00
    0.136278E-06    0.907807E+01    0.134505E-23    0.258163E-23   -0.100000E+01    0.733792E+07    0.462364E-03    0.999538E+00
    0.136718E-06    0.907807E+01    0.136294E-23    0.261514E-23   -0.100000E+01    0.731430E+07    0.463857E-03    0.999536E+00
    0.137160E-06    0.907807E+01    0.138095E-23    0.264908E-23   -0.100000E+01    0.729076E+07    0.465354E-03    0.999535E+00
    0.137603E-06    0.907807E+01    0.139910E-23    0.268346E-23   -0.100000E+01    0.726729E+07    0.466856E-03    0.999533E+00
    0.138047E-06    0.907807E+01    0.141737E-23    0.271829E-23   -0.100000E+01    0.724389E+07    0.468363E-03    0.999532E+00
    0.138493E-06    0.907807E+01    0.143578E-23    0.275357E-23   -0.100000E+01    0.722057E+07    0.469875E-03    0.999530E+00
    0.138940E-06    0.907807E+01    0.145432E-23    0.278931E-23   -0.100000E+01    0.719733E+07    0.471392E-03    0.999529E+00
    0.139389E-06    0.907807E+01    0.147300E-23    0.282551E-23   -0.100000E+01    0.717416E+07    0.472913E-03    0.999527E+00
    0.139839E-06    0.907807E+01    0.149181E-23    0.286218E-23   -0.100000E+01    0.715107E+07    0.474440E-03    0.999526E+00
    0.140291E-06    0.907807E+01    0.151076E-23    0.289933E-23   -0.100000E+01    0.712805E+07    0.475971E-03    0.999524E+00
    0.140744E-06    0.907807E+01    0.152986E-23    0.293696E-23   -0.100000E+01    0.710510E+07    0.477508E-03    0.999522E+00
    0.141198E-06    0.907807E+01    0.154910E-23    0.297508E-23   -0.100000E+01    0.708223E+07    0.479049E-03    0.999521E+00
