#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.128342E+04   0.152051E+01   0.899491E-03   0.152051E+01   0.724139E-01  -0.214341E-06   0.899491E-03  -0.214341E-06   0.137028E-06
    44   0.130233E+04   0.142030E+01   0.880566E-03   0.142030E+01   0.780997E-01  -0.310485E-06   0.880566E-03  -0.310485E-06   0.136655E-06
    45   0.132147E+04   0.130865E+01   0.862211E-03   0.130865E+01   0.840773E-01  -0.379682E-06   0.862211E-03  -0.379682E-06   0.136256E-06
    46   0.134081E+04   0.118519E+01   0.844431E-03   0.118519E+01   0.903538E-01  -0.395222E-06   0.844431E-03  -0.395222E-06   0.135832E-06
    47   0.136032E+04   0.104938E+01   0.827204E-03   0.104938E+01   0.969297E-01  -0.374248E-06   0.827204E-03  -0.374248E-06   0.135385E-06
    48   0.137999E+04   0.900615E+00   0.810505E-03   0.900615E+00   0.103797E+00  -0.344866E-06   0.810505E-03  -0.344866E-06   0.134917E-06
    49   0.139981E+04   0.738349E+00   0.794305E-03   0.738349E+00   0.110945E+00  -0.335183E-06   0.794305E-03  -0.335183E-06   0.134429E-06
    50   0.141982E+04   0.562182E+00   0.778580E-03   0.562182E+00   0.118378E+00  -0.373304E-06   0.778580E-03  -0.373304E-06   0.133924E-06
    51   0.144009E+04   0.372024E+00   0.763309E-03   0.372024E+00   0.126099E+00  -0.476909E-06   0.763309E-03  -0.476909E-06   0.133402E-06
    52   0.146056E+04   0.168827E+00   0.748506E-03   0.168827E+00   0.134112E+00  -0.621967E-06   0.748506E-03  -0.621967E-06   0.132864E-06
    53   0.148116E+04  -0.464082E-01   0.734189E-03  -0.464082E-01   0.142418E+00  -0.774018E-06   0.734189E-03  -0.774018E-06   0.132313E-06
    54   0.150188E+04  -0.273539E+00   0.720380E-03  -0.273539E+00   0.151021E+00  -0.898604E-06   0.720380E-03  -0.898604E-06   0.131748E-06
    55   0.152270E+04  -0.512794E+00   0.707098E-03  -0.512794E+00   0.159924E+00  -0.961267E-06   0.707098E-03  -0.961267E-06   0.131171E-06
    56   0.154375E+04  -0.765042E+00   0.694351E-03  -0.765042E+00   0.169124E+00  -0.938114E-06   0.694351E-03  -0.938114E-06   0.130582E-06
    57   0.156511E+04  -0.103116E+01   0.682094E-03  -0.103116E+01   0.178618E+00  -0.847519E-06   0.682094E-03  -0.847519E-06   0.129983E-06
    58   0.158676E+04  -0.131136E+01   0.670272E-03  -0.131136E+01   0.188404E+00  -0.718422E-06   0.670272E-03  -0.718422E-06   0.129373E-06
    59   0.160859E+04  -0.160555E+01   0.658828E-03  -0.160555E+01   0.198483E+00  -0.579764E-06   0.658828E-03  -0.579764E-06   0.128754E-06
    60   0.163059E+04  -0.191324E+01   0.647705E-03  -0.191324E+01   0.208845E+00  -0.460484E-06   0.647705E-03  -0.460484E-06   0.128126E-06
    61   0.165278E+04  -0.223394E+01   0.636853E-03  -0.223394E+01   0.219485E+00  -0.384279E-06   0.636853E-03  -0.384279E-06   0.127489E-06
    62   0.167514E+04  -0.256767E+01   0.626241E-03  -0.256767E+01   0.230398E+00  -0.353879E-06   0.626241E-03  -0.353879E-06   0.126845E-06
    63   0.169771E+04  -0.291456E+01   0.615845E-03  -0.291456E+01   0.241583E+00  -0.366766E-06   0.615845E-03  -0.366766E-06   0.126195E-06
    64   0.172049E+04  -0.327475E+01   0.605641E-03  -0.327475E+01   0.253037E+00  -0.420426E-06   0.605641E-03  -0.420426E-06   0.125539E-06
    65   0.174349E+04  -0.364841E+01   0.595604E-03  -0.364841E+01   0.264759E+00  -0.512343E-06   0.595604E-03  -0.512343E-06   0.124878E-06
    66   0.176677E+04  -0.403578E+01   0.585722E-03  -0.403578E+01   0.276742E+00  -0.637214E-06   0.585722E-03  -0.637214E-06   0.124214E-06
    67   0.179030E+04  -0.443630E+01   0.576027E-03  -0.443630E+01   0.288980E+00  -0.778582E-06   0.576027E-03  -0.778582E-06   0.123547E-06
    68   0.181404E+04  -0.484927E+01   0.566564E-03  -0.484927E+01   0.301463E+00  -0.917201E-06   0.566564E-03  -0.917201E-06   0.122877E-06
    69   0.183795E+04  -0.527399E+01   0.557377E-03  -0.527399E+01   0.314183E+00  -0.103383E-05   0.557377E-03  -0.103383E-05   0.122205E-06
    70   0.186200E+04  -0.570996E+01   0.548509E-03  -0.570996E+01   0.327134E+00  -0.110922E-05   0.548509E-03  -0.110922E-05   0.121531E-06
    71   0.188616E+04  -0.615700E+01   0.539992E-03  -0.615700E+01   0.340312E+00  -0.112952E-05   0.539992E-03  -0.112952E-05   0.120856E-06
    72   0.191055E+04  -0.661602E+01   0.531806E-03  -0.661602E+01   0.353712E+00  -0.110250E-05   0.531806E-03  -0.110250E-05   0.120180E-06
    73   0.193529E+04  -0.708798E+01   0.523916E-03  -0.708798E+01   0.367330E+00  -0.104131E-05   0.523916E-03  -0.104131E-05   0.119503E-06
    74   0.196038E+04  -0.757278E+01   0.516290E-03  -0.757278E+01   0.381153E+00  -0.959114E-06   0.516290E-03  -0.959114E-06   0.118824E-06
    75   0.198583E+04  -0.806999E+01   0.508893E-03  -0.806999E+01   0.395171E+00  -0.869061E-06   0.508893E-03  -0.869061E-06   0.118145E-06
    76   0.201158E+04  -0.857906E+01   0.501693E-03  -0.857906E+01   0.409369E+00  -0.783017E-06   0.501693E-03  -0.783017E-06   0.117464E-06
    77   0.203753E+04  -0.909854E+01   0.494665E-03  -0.909854E+01   0.423736E+00  -0.707659E-06   0.494665E-03  -0.707659E-06   0.116782E-06
    78   0.206364E+04  -0.962798E+01   0.487785E-03  -0.962798E+01   0.438261E+00  -0.648370E-06   0.487785E-03  -0.648370E-06   0.116100E-06
    79   0.208996E+04  -0.101672E+02   0.481030E-03  -0.101672E+02   0.452931E+00  -0.610533E-06   0.481030E-03  -0.610533E-06   0.115419E-06
