#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   327   0.317339E+04   0.115349E+03   0.492381E-04   0.115349E+03   0.140742E+02   0.115130E-05   0.492381E-04   0.115130E-05   0.335896E-07
   328   0.314119E+04   0.114669E+03   0.487727E-04   0.114669E+03   0.142596E+02   0.115844E-05   0.487727E-04   0.115844E-05   0.334679E-07
   329   0.310919E+04   0.113953E+03   0.483112E-04   0.113953E+03   0.144444E+02   0.116540E-05   0.483112E-04   0.116540E-05   0.333468E-07
   330   0.307741E+04   0.113199E+03   0.478534E-04   0.113199E+03   0.146283E+02   0.117216E-05   0.478534E-04   0.117216E-05   0.332264E-07
   331   0.304584E+04   0.112409E+03   0.473995E-04   0.112409E+03   0.148114E+02   0.117873E-05   0.473995E-04   0.117873E-05   0.331067E-07
   332   0.301450E+04   0.111583E+03   0.469495E-04   0.111583E+03   0.149937E+02   0.118510E-05   0.469495E-04   0.118510E-05   0.329876E-07
   333   0.298339E+04   0.110722E+03   0.465033E-04   0.110722E+03   0.151749E+02   0.119127E-05   0.465033E-04   0.119127E-05   0.328692E-07
   334   0.295253E+04   0.109825E+03   0.460609E-04   0.109825E+03   0.153550E+02   0.119722E-05   0.460609E-04   0.119722E-05   0.327514E-07
   335   0.292192E+04   0.108893E+03   0.456225E-04   0.108893E+03   0.155340E+02   0.120297E-05   0.456225E-04   0.120297E-05   0.326342E-07
   336   0.289158E+04   0.107927E+03   0.451879E-04   0.107927E+03   0.157117E+02   0.120849E-05   0.451879E-04   0.120849E-05   0.325176E-07
   337   0.286150E+04   0.106927E+03   0.447572E-04   0.106927E+03   0.158882E+02   0.121379E-05   0.447572E-04   0.121379E-05   0.324017E-07
   338   0.283170E+04   0.105892E+03   0.443304E-04   0.105892E+03   0.160634E+02   0.121887E-05   0.443304E-04   0.121887E-05   0.322863E-07
   339   0.280218E+04   0.104825E+03   0.439076E-04   0.104825E+03   0.162372E+02   0.122371E-05   0.439076E-04   0.122371E-05   0.321716E-07
   340   0.277297E+04   0.103725E+03   0.434887E-04   0.103725E+03   0.164095E+02   0.122831E-05   0.434887E-04   0.122831E-05   0.320575E-07
   341   0.274405E+04   0.102593E+03   0.430737E-04   0.102593E+03   0.165803E+02   0.123267E-05   0.430737E-04   0.123267E-05   0.319440E-07
   342   0.271543E+04   0.101427E+03   0.426626E-04   0.101427E+03   0.167493E+02   0.123679E-05   0.426626E-04   0.123679E-05   0.318310E-07
   343   0.268713E+04   0.100231E+03   0.422556E-04   0.100231E+03   0.169167E+02   0.124065E-05   0.422556E-04   0.124065E-05   0.317187E-07
   344   0.265914E+04   0.990025E+02   0.418525E-04   0.990025E+02   0.170822E+02   0.124426E-05   0.418525E-04   0.124426E-05   0.316069E-07
   345   0.263146E+04   0.977428E+02   0.414533E-04   0.977428E+02   0.172459E+02   0.124761E-05   0.414533E-04   0.124761E-05   0.314957E-07
   346   0.260412E+04   0.964518E+02   0.410582E-04   0.964518E+02   0.174076E+02   0.125069E-05   0.410582E-04   0.125069E-05   0.313851E-07
   347   0.257710E+04   0.951304E+02   0.406671E-04   0.951304E+02   0.175672E+02   0.125349E-05   0.406671E-04   0.125349E-05   0.312750E-07
   348   0.255041E+04   0.937784E+02   0.402800E-04   0.937784E+02   0.177247E+02   0.125603E-05   0.402800E-04   0.125603E-05   0.311655E-07
   349   0.252407E+04   0.923982E+02   0.398969E-04   0.923982E+02   0.178800E+02   0.125828E-05   0.398969E-04   0.125828E-05   0.310565E-07
   350   0.249808E+04   0.909889E+02   0.395179E-04   0.909889E+02   0.180331E+02   0.126025E-05   0.395179E-04   0.126025E-05   0.309481E-07
   351   0.247246E+04   0.895521E+02   0.391429E-04   0.895521E+02   0.181840E+02   0.126194E-05   0.391429E-04   0.126194E-05   0.308402E-07
   352   0.244720E+04   0.880885E+02   0.387718E-04   0.880885E+02   0.183326E+02   0.126335E-05   0.387718E-04   0.126335E-05   0.307328E-07
   353   0.242232E+04   0.865981E+02   0.384046E-04   0.865981E+02   0.184788E+02   0.126450E-05   0.384046E-04   0.126450E-05   0.306260E-07
   354   0.239782E+04   0.850832E+02   0.380411E-04   0.850832E+02   0.186227E+02   0.126540E-05   0.380411E-04   0.126540E-05   0.305197E-07
   355   0.237370E+04   0.835429E+02   0.376812E-04   0.835429E+02   0.187640E+02   0.126608E-05   0.376812E-04   0.126608E-05   0.304139E-07
   356   0.234998E+04   0.819781E+02   0.373249E-04   0.819781E+02   0.189028E+02   0.126655E-05   0.373249E-04   0.126655E-05   0.303086E-07
   357   0.232664E+04   0.803895E+02   0.369721E-04   0.803895E+02   0.190390E+02   0.126681E-05   0.369721E-04   0.126681E-05   0.302039E-07
   358   0.230371E+04   0.787779E+02   0.366226E-04   0.787779E+02   0.191725E+02   0.126689E-05   0.366226E-04   0.126689E-05   0.300997E-07
   359   0.228118E+04   0.771431E+02   0.362763E-04   0.771431E+02   0.193032E+02   0.126681E-05   0.362763E-04   0.126681E-05   0.299959E-07
   360   0.225905E+04   0.754868E+02   0.359331E-04   0.754868E+02   0.194310E+02   0.126657E-05   0.359331E-04   0.126657E-05   0.298927E-07
   361   0.223733E+04   0.738079E+02   0.355930E-04   0.738079E+02   0.195560E+02   0.126619E-05   0.355930E-04   0.126619E-05   0.297900E-07
   362   0.221601E+04   0.721082E+02   0.352558E-04   0.721082E+02   0.196780E+02   0.126570E-05   0.352558E-04   0.126570E-05   0.296879E-07
   363   0.219512E+04   0.703884E+02   0.349215E-04   0.703884E+02   0.197970E+02   0.126509E-05   0.349215E-04   0.126509E-05   0.295862E-07
   364   0.217464E+04   0.686490E+02   0.345899E-04   0.686490E+02   0.199129E+02   0.126439E-05   0.345899E-04   0.126439E-05   0.294850E-07
   365   0.215459E+04   0.668910E+02   0.342609E-04   0.668910E+02   0.200257E+02   0.126361E-05   0.342609E-04   0.126361E-05   0.293842E-07
   366   0.213496E+04   0.651152E+02   0.339345E-04   0.651152E+02   0.201353E+02   0.126278E-05   0.339345E-04   0.126278E-05   0.292840E-07
   367   0.211576E+04   0.633222E+02   0.336104E-04   0.633222E+02   0.202417E+02   0.126189E-05   0.336104E-04   0.126189E-05   0.291843E-07
   368   0.209699E+04   0.615129E+02   0.332888E-04   0.615129E+02   0.203447E+02   0.126097E-05   0.332888E-04   0.126097E-05   0.290850E-07
   369   0.207865E+04   0.596880E+02   0.329693E-04   0.596880E+02   0.204446E+02   0.126004E-05   0.329693E-04   0.126004E-05   0.289863E-07
   370   0.206076E+04   0.578483E+02   0.326520E-04   0.578483E+02   0.205410E+02   0.125910E-05   0.326520E-04   0.125910E-05   0.288880E-07
   371   0.204330E+04   0.559946E+02   0.323366E-04   0.559946E+02   0.206341E+02   0.125818E-05   0.323366E-04   0.125818E-05   0.287902E-07
   372   0.202628E+04   0.541276E+02   0.320233E-04   0.541276E+02   0.207236E+02   0.125729E-05   0.320233E-04   0.125729E-05   0.286928E-07
   373   0.200970E+04   0.522482E+02   0.317117E-04   0.522482E+02   0.208097E+02   0.125644E-05   0.317117E-04   0.125644E-05   0.285959E-07
   374   0.199357E+04   0.503570E+02   0.314018E-04   0.503570E+02   0.208923E+02   0.125565E-05   0.314018E-04   0.125565E-05   0.284995E-07
   375   0.197788E+04   0.484548E+02   0.310936E-04   0.484548E+02   0.209714E+02   0.125494E-05   0.310936E-04   0.125494E-05   0.284036E-07
   376   0.196263E+04   0.465424E+02   0.307869E-04   0.465424E+02   0.210468E+02   0.125431E-05   0.307869E-04   0.125431E-05   0.283081E-07
   377   0.194783E+04   0.446205E+02   0.304816E-04   0.446205E+02   0.211186E+02   0.125379E-05   0.304816E-04   0.125379E-05   0.282130E-07
   378   0.193347E+04   0.426899E+02   0.301777E-04   0.426899E+02   0.211867E+02   0.125339E-05   0.301777E-04   0.125339E-05   0.281184E-07
   379   0.191957E+04   0.407513E+02   0.298749E-04   0.407513E+02   0.212510E+02   0.125312E-05   0.298749E-04   0.125312E-05   0.280243E-07
   380   0.190612E+04   0.388055E+02   0.295733E-04   0.388055E+02   0.213115E+02   0.125301E-05   0.295733E-04   0.125301E-05   0.279306E-07
   381   0.189311E+04   0.368531E+02   0.292726E-04   0.368531E+02   0.213682E+02   0.125306E-05   0.292726E-04   0.125306E-05   0.278373E-07
   382   0.188056E+04   0.348951E+02   0.289729E-04   0.348951E+02   0.214208E+02   0.125329E-05   0.289729E-04   0.125329E-05   0.277445E-07
   383   0.186846E+04   0.329322E+02   0.286740E-04   0.329322E+02   0.214697E+02   0.125371E-05   0.286740E-04   0.125371E-05   0.276522E-07
   384   0.185680E+04   0.309653E+02   0.283758E-04   0.309653E+02   0.215147E+02   0.125435E-05   0.283758E-04   0.125435E-05   0.275602E-07
   385   0.184559E+04   0.289951E+02   0.280783E-04   0.289951E+02   0.215557E+02   0.125521E-05   0.280783E-04   0.125521E-05   0.274687E-07
   386   0.183484E+04   0.270227E+02   0.277812E-04   0.270227E+02   0.215929E+02   0.125631E-05   0.277812E-04   0.125631E-05   0.273776E-07
   387   0.182453E+04   0.250487E+02   0.274845E-04   0.250487E+02   0.216261E+02   0.125767E-05   0.274845E-04   0.125767E-05   0.272869E-07
   388   0.181467E+04   0.230741E+02   0.271882E-04   0.230741E+02   0.216555E+02   0.125930E-05   0.271882E-04   0.125930E-05   0.271967E-07
   389   0.180525E+04   0.210997E+02   0.268920E-04   0.210997E+02   0.216809E+02   0.126122E-05   0.268920E-04   0.126122E-05   0.271069E-07
   390   0.179628E+04   0.191262E+02   0.265959E-04   0.191262E+02   0.217024E+02   0.126344E-05   0.265959E-04   0.126344E-05   0.270175E-07
   391   0.178775E+04   0.171546E+02   0.262999E-04   0.171546E+02   0.217199E+02   0.126597E-05   0.262999E-04   0.126597E-05   0.269285E-07
   392   0.177965E+04   0.151856E+02   0.260038E-04   0.151856E+02   0.217334E+02   0.126884E-05   0.260038E-04   0.126884E-05   0.268399E-07
   393   0.177200E+04   0.132200E+02   0.257074E-04   0.132200E+02   0.217430E+02   0.127205E-05   0.257074E-04   0.127205E-05   0.267517E-07
   394   0.176478E+04   0.112585E+02   0.254108E-04   0.112585E+02   0.217486E+02   0.127563E-05   0.254108E-04   0.127563E-05   0.266639E-07
   395   0.175799E+04   0.930199E+01   0.251137E-04   0.930199E+01   0.217501E+02   0.127958E-05   0.251137E-04   0.127958E-05   0.265765E-07
   396   0.175164E+04   0.735126E+01   0.248162E-04   0.735126E+01   0.217477E+02   0.128393E-05   0.248162E-04   0.128393E-05   0.264895E-07
   397   0.174570E+04   0.540710E+01   0.245180E-04   0.540710E+01   0.217411E+02   0.128868E-05   0.245180E-04   0.128868E-05   0.264029E-07
   398   0.174020E+04   0.347025E+01   0.242191E-04   0.347025E+01   0.217306E+02   0.129386E-05   0.242191E-04   0.129386E-05   0.263167E-07
   399   0.173512E+04   0.154150E+01   0.239195E-04   0.154150E+01   0.217160E+02   0.129947E-05   0.239195E-04   0.129947E-05   0.262308E-07
   400   0.173046E+04  -0.378384E+00   0.236189E-04  -0.378384E+00   0.216974E+02   0.130554E-05   0.236189E-04   0.130554E-05   0.261454E-07
   401   0.172623E+04  -0.228863E+01   0.233174E-04  -0.228863E+01   0.216747E+02   0.131207E-05   0.233174E-04   0.131207E-05   0.260603E-07
   402   0.172241E+04  -0.418845E+01   0.230149E-04  -0.418845E+01   0.216481E+02   0.131904E-05   0.230149E-04   0.131904E-05   0.259756E-07
   403   0.171901E+04  -0.607711E+01   0.227117E-04  -0.607711E+01   0.216174E+02   0.132643E-05   0.227117E-04   0.132643E-05   0.258913E-07
   404   0.171603E+04  -0.795380E+01   0.224078E-04  -0.795380E+01   0.215828E+02   0.133421E-05   0.224078E-04   0.133421E-05   0.258074E-07
   405   0.171345E+04  -0.981776E+01   0.221034E-04  -0.981776E+01   0.215442E+02   0.134235E-05   0.221034E-04   0.134235E-05   0.257238E-07
   406   0.171126E+04  -0.116683E+02   0.217985E-04  -0.116683E+02   0.215017E+02   0.135083E-05   0.217985E-04   0.135083E-05   0.256406E-07
   407   0.170948E+04  -0.135045E+02   0.214933E-04  -0.135045E+02   0.214552E+02   0.135961E-05   0.214933E-04   0.135961E-05   0.255578E-07
   408   0.170810E+04  -0.153257E+02   0.211879E-04  -0.153257E+02   0.214048E+02   0.136869E-05   0.211879E-04   0.136869E-05   0.254753E-07
   409   0.170709E+04  -0.171312E+02   0.208824E-04  -0.171312E+02   0.213506E+02   0.137802E-05   0.208824E-04   0.137802E-05   0.253932E-07
   410   0.170648E+04  -0.189200E+02   0.205769E-04  -0.189200E+02   0.212925E+02   0.138758E-05   0.205769E-04   0.138758E-05   0.253115E-07
   411   0.170623E+04  -0.206917E+02   0.202715E-04  -0.206917E+02   0.212305E+02   0.139735E-05   0.202715E-04   0.139735E-05   0.252301E-07
   412   0.170635E+04  -0.224454E+02   0.199664E-04  -0.224454E+02   0.211647E+02   0.140730E-05   0.199664E-04   0.140730E-05   0.251491E-07
   413   0.170686E+04  -0.241807E+02   0.196616E-04  -0.241807E+02   0.210952E+02   0.141741E-05   0.196616E-04   0.141741E-05   0.250685E-07
   414   0.170772E+04  -0.258968E+02   0.193573E-04  -0.258968E+02   0.210219E+02   0.142764E-05   0.193573E-04   0.142764E-05   0.249882E-07
   415   0.170894E+04  -0.275931E+02   0.190536E-04  -0.275931E+02   0.209450E+02   0.143797E-05   0.190536E-04   0.143797E-05   0.249082E-07
   416   0.171051E+04  -0.292691E+02   0.187506E-04  -0.292691E+02   0.208644E+02   0.144837E-05   0.187506E-04   0.144837E-05   0.248287E-07
   417   0.171243E+04  -0.309238E+02   0.184484E-04  -0.309238E+02   0.207802E+02   0.145883E-05   0.184484E-04   0.145883E-05   0.247494E-07
   418   0.171470E+04  -0.325569E+02   0.181471E-04  -0.325569E+02   0.206925E+02   0.146931E-05   0.181471E-04   0.146931E-05   0.246706E-07
   419   0.171731E+04  -0.341674E+02   0.178469E-04  -0.341674E+02   0.206012E+02   0.147978E-05   0.178469E-04   0.147978E-05   0.245920E-07
   420   0.172025E+04  -0.357550E+02   0.175478E-04  -0.357550E+02   0.205063E+02   0.149022E-05   0.175478E-04   0.149022E-05   0.245139E-07
   421   0.172353E+04  -0.373188E+02   0.172500E-04  -0.373188E+02   0.204080E+02   0.150061E-05   0.172500E-04   0.150061E-05   0.244360E-07
   422   0.172712E+04  -0.388582E+02   0.169536E-04  -0.388582E+02   0.203062E+02   0.151092E-05   0.169536E-04   0.151092E-05   0.243585E-07
   423   0.173104E+04  -0.403725E+02   0.166586E-04  -0.403725E+02   0.202009E+02   0.152111E-05   0.166586E-04   0.152111E-05   0.242814E-07
   424   0.173527E+04  -0.418612E+02   0.163653E-04  -0.418612E+02   0.200923E+02   0.153117E-05   0.163653E-04   0.153117E-05   0.242046E-07
   425   0.173981E+04  -0.433237E+02   0.160737E-04  -0.433237E+02   0.199803E+02   0.154107E-05   0.160737E-04   0.154107E-05   0.241281E-07
   426   0.174465E+04  -0.447596E+02   0.157840E-04  -0.447596E+02   0.198651E+02   0.155079E-05   0.157840E-04   0.155079E-05   0.240520E-07
   427   0.174977E+04  -0.461685E+02   0.154962E-04  -0.461685E+02   0.197467E+02   0.156029E-05   0.154962E-04   0.156029E-05   0.239762E-07
   428   0.175519E+04  -0.475499E+02   0.152104E-04  -0.475499E+02   0.196253E+02   0.156955E-05   0.152104E-04   0.156955E-05   0.239008E-07
   429   0.176088E+04  -0.489034E+02   0.149268E-04  -0.489034E+02   0.195008E+02   0.157854E-05   0.149268E-04   0.157854E-05   0.238257E-07
   430   0.176684E+04  -0.502285E+02   0.146456E-04  -0.502285E+02   0.193734E+02   0.158724E-05   0.146456E-04   0.158724E-05   0.237509E-07
   431   0.177306E+04  -0.515249E+02   0.143667E-04  -0.515249E+02   0.192432E+02   0.159562E-05   0.143667E-04   0.159562E-05   0.236764E-07
   432   0.177954E+04  -0.527920E+02   0.140903E-04  -0.527920E+02   0.191102E+02   0.160366E-05   0.140903E-04   0.160366E-05   0.236023E-07
   433   0.178627E+04  -0.540294E+02   0.138166E-04  -0.540294E+02   0.189745E+02   0.161133E-05   0.138166E-04   0.161133E-05   0.235285E-07
   434   0.179325E+04  -0.552367E+02   0.135457E-04  -0.552367E+02   0.188362E+02   0.161859E-05   0.135457E-04   0.161859E-05   0.234550E-07
   435   0.180047E+04  -0.564134E+02   0.132776E-04  -0.564134E+02   0.186951E+02   0.162544E-05   0.132776E-04   0.162544E-05   0.233818E-07
   436   0.180792E+04  -0.575590E+02   0.130124E-04  -0.575590E+02   0.185516E+02   0.163184E-05   0.130124E-04   0.163184E-05   0.233090E-07
   437   0.181561E+04  -0.586731E+02   0.127504E-04  -0.586731E+02   0.184055E+02   0.163776E-05   0.127504E-04   0.163776E-05   0.232365E-07
   438   0.182352E+04  -0.597553E+02   0.124915E-04  -0.597553E+02   0.182571E+02   0.164317E-05   0.124915E-04   0.164317E-05   0.231643E-07
   439   0.183165E+04  -0.608051E+02   0.122360E-04  -0.608051E+02   0.181063E+02   0.164806E-05   0.122360E-04   0.164806E-05   0.230924E-07
   440   0.184000E+04  -0.618223E+02   0.119839E-04  -0.618223E+02   0.179531E+02   0.165240E-05   0.119839E-04   0.165240E-05   0.230208E-07
   441   0.184854E+04  -0.628066E+02   0.117354E-04  -0.628066E+02   0.177979E+02   0.165615E-05   0.117354E-04   0.165615E-05   0.229496E-07
   442   0.185727E+04  -0.637576E+02   0.114905E-04  -0.637576E+02   0.176404E+02   0.165930E-05   0.114905E-04   0.165930E-05   0.228786E-07
   443   0.186618E+04  -0.646749E+02   0.112494E-04  -0.646749E+02   0.174810E+02   0.166181E-05   0.112494E-04   0.166181E-05   0.228080E-07
   444   0.187526E+04  -0.655583E+02   0.110121E-04  -0.655583E+02   0.173196E+02   0.166367E-05   0.110121E-04   0.166367E-05   0.227377E-07
   445   0.188451E+04  -0.664075E+02   0.107789E-04  -0.664075E+02   0.171563E+02   0.166483E-05   0.107789E-04   0.166483E-05   0.226677E-07
   446   0.189392E+04  -0.672222E+02   0.105498E-04  -0.672222E+02   0.169913E+02   0.166529E-05   0.105498E-04   0.166529E-05   0.225979E-07
   447   0.190347E+04  -0.680023E+02   0.103249E-04  -0.680023E+02   0.168246E+02   0.166501E-05   0.103249E-04   0.166501E-05   0.225285E-07
   448   0.191318E+04  -0.687478E+02   0.101043E-04  -0.687478E+02   0.166563E+02   0.166396E-05   0.101043E-04   0.166396E-05   0.224594E-07
   449   0.192303E+04  -0.694583E+02   0.988825E-05  -0.694583E+02   0.164866E+02   0.166213E-05   0.988825E-05   0.166213E-05   0.223906E-07
   450   0.193302E+04  -0.701339E+02   0.967672E-05  -0.701339E+02   0.163153E+02   0.165947E-05   0.967672E-05   0.165947E-05   0.223221E-07
   451   0.194313E+04  -0.707744E+02   0.946985E-05  -0.707744E+02   0.161428E+02   0.165598E-05   0.946985E-05   0.165598E-05   0.222539E-07
   452   0.195339E+04  -0.713796E+02   0.926760E-05  -0.713796E+02   0.159691E+02   0.165167E-05   0.926760E-05   0.165167E-05   0.221860E-07
   453   0.196375E+04  -0.719493E+02   0.906991E-05  -0.719493E+02   0.157942E+02   0.164655E-05   0.906991E-05   0.164655E-05   0.221184E-07
   454   0.197422E+04  -0.724834E+02   0.887674E-05  -0.724834E+02   0.156183E+02   0.164066E-05   0.887674E-05   0.164066E-05   0.220510E-07
   455   0.198480E+04  -0.729815E+02   0.868801E-05  -0.729815E+02   0.154414E+02   0.163400E-05   0.868801E-05   0.163400E-05   0.219840E-07
   456   0.199546E+04  -0.734437E+02   0.850368E-05  -0.734437E+02   0.152636E+02   0.162660E-05   0.850368E-05   0.162660E-05   0.219172E-07
   457   0.200620E+04  -0.738696E+02   0.832368E-05  -0.738696E+02   0.150850E+02   0.161847E-05   0.832368E-05   0.161847E-05   0.218508E-07
   458   0.201701E+04  -0.742589E+02   0.814796E-05  -0.742589E+02   0.149058E+02   0.160965E-05   0.814796E-05   0.160965E-05   0.217846E-07
   459   0.202787E+04  -0.746119E+02   0.797646E-05  -0.746119E+02   0.147259E+02   0.160014E-05   0.797646E-05   0.160014E-05   0.217187E-07
   460   0.203880E+04  -0.749284E+02   0.780911E-05  -0.749284E+02   0.145456E+02   0.158997E-05   0.780911E-05   0.158997E-05   0.216531E-07
   461   0.204977E+04  -0.752079E+02   0.764587E-05  -0.752079E+02   0.143647E+02   0.157917E-05   0.764587E-05   0.157917E-05   0.215878E-07
   462   0.206079E+04  -0.754525E+02   0.748667E-05  -0.754525E+02   0.141837E+02   0.156774E-05   0.748667E-05   0.156774E-05   0.215227E-07
   463   0.207185E+04  -0.756607E+02   0.733146E-05  -0.756607E+02   0.140025E+02   0.155571E-05   0.733146E-05   0.155571E-05   0.214580E-07
   464   0.208295E+04  -0.758332E+02   0.718018E-05  -0.758332E+02   0.138213E+02   0.154310E-05   0.718018E-05   0.154310E-05   0.213935E-07
   465   0.209408E+04  -0.759701E+02   0.703276E-05  -0.759701E+02   0.136401E+02   0.152993E-05   0.703276E-05   0.152993E-05   0.213293E-07
   466   0.210525E+04  -0.760722E+02   0.688916E-05  -0.760722E+02   0.134590E+02   0.151622E-05   0.688916E-05   0.151622E-05   0.212654E-07
   467   0.211644E+04  -0.761386E+02   0.674931E-05  -0.761386E+02   0.132783E+02   0.150199E-05   0.674931E-05   0.150199E-05   0.212017E-07
   468   0.212764E+04  -0.761701E+02   0.661316E-05  -0.761701E+02   0.130979E+02   0.148727E-05   0.661316E-05   0.148727E-05   0.211383E-07
   469   0.213884E+04  -0.761667E+02   0.648065E-05  -0.761667E+02   0.129180E+02   0.147206E-05   0.648065E-05   0.147206E-05   0.210752E-07
   470   0.215004E+04  -0.761284E+02   0.635171E-05  -0.761284E+02   0.127386E+02   0.145639E-05   0.635171E-05   0.145639E-05   0.210124E-07
   471   0.216121E+04  -0.760545E+02   0.622630E-05  -0.760545E+02   0.125599E+02   0.144029E-05   0.622630E-05   0.144029E-05   0.209498E-07
   472   0.217236E+04  -0.759464E+02   0.610435E-05  -0.759464E+02   0.123820E+02   0.142377E-05   0.610435E-05   0.142377E-05   0.208875E-07
   473   0.218348E+04  -0.758027E+02   0.598581E-05  -0.758027E+02   0.122049E+02   0.140685E-05   0.598581E-05   0.140685E-05   0.208254E-07
   474   0.219456E+04  -0.756255E+02   0.587061E-05  -0.756255E+02   0.120287E+02   0.138955E-05   0.587061E-05   0.138955E-05   0.207637E-07
   475   0.220559E+04  -0.754135E+02   0.575870E-05  -0.754135E+02   0.118536E+02   0.137189E-05   0.575870E-05   0.137189E-05   0.207021E-07
   476   0.221658E+04  -0.751673E+02   0.565003E-05  -0.751673E+02   0.116797E+02   0.135390E-05   0.565003E-05   0.135390E-05   0.206409E-07
   477   0.222751E+04  -0.748876E+02   0.554453E-05  -0.748876E+02   0.115070E+02   0.133559E-05   0.554453E-05   0.133559E-05   0.205799E-07
   478   0.223839E+04  -0.745746E+02   0.544214E-05  -0.745746E+02   0.113357E+02   0.131698E-05   0.544214E-05   0.131698E-05   0.205192E-07
   479   0.224921E+04  -0.742291E+02   0.534281E-05  -0.742291E+02   0.111659E+02   0.129810E-05   0.534281E-05   0.129810E-05   0.204587E-07
   480   0.225996E+04  -0.738507E+02   0.524649E-05  -0.738507E+02   0.109977E+02   0.127896E-05   0.524649E-05   0.127896E-05   0.203985E-07
   481   0.227065E+04  -0.734401E+02   0.515310E-05  -0.734401E+02   0.108311E+02   0.125959E-05   0.515310E-05   0.125959E-05   0.203385E-07
   482   0.228126E+04  -0.729975E+02   0.506260E-05  -0.729975E+02   0.106663E+02   0.123999E-05   0.506260E-05   0.123999E-05   0.202788E-07
   483   0.229178E+04  -0.725233E+02   0.497492E-05  -0.725233E+02   0.105034E+02   0.122020E-05   0.497492E-05   0.122020E-05   0.202194E-07
   484   0.230220E+04  -0.720180E+02   0.489001E-05  -0.720180E+02   0.103425E+02   0.120024E-05   0.489001E-05   0.120024E-05   0.201601E-07
   485   0.231251E+04  -0.714817E+02   0.480781E-05  -0.714817E+02   0.101837E+02   0.118012E-05   0.480781E-05   0.118012E-05   0.201012E-07
   486   0.232272E+04  -0.709150E+02   0.472826E-05  -0.709150E+02   0.100270E+02   0.115987E-05   0.472826E-05   0.115987E-05   0.200425E-07
   487   0.233281E+04  -0.703181E+02   0.465130E-05  -0.703181E+02   0.987261E+01   0.113950E-05   0.465130E-05   0.113950E-05   0.199840E-07
   488   0.234278E+04  -0.696915E+02   0.457688E-05  -0.696915E+02   0.972063E+01   0.111904E-05   0.457688E-05   0.111904E-05   0.199258E-07
   489   0.235262E+04  -0.690359E+02   0.450493E-05  -0.690359E+02   0.957103E+01   0.109850E-05   0.450493E-05   0.109850E-05   0.198678E-07
   490   0.236233E+04  -0.683515E+02   0.443541E-05  -0.683515E+02   0.942402E+01   0.107791E-05   0.443541E-05   0.107791E-05   0.198101E-07
   491   0.237191E+04  -0.676391E+02   0.436824E-05  -0.676391E+02   0.927969E+01   0.105728E-05   0.436824E-05   0.105728E-05   0.197526E-07
   492   0.238135E+04  -0.668989E+02   0.430338E-05  -0.668989E+02   0.913804E+01   0.103664E-05   0.430338E-05   0.103664E-05   0.196953E-07
   493   0.239066E+04  -0.661317E+02   0.424077E-05  -0.661317E+02   0.899920E+01   0.101601E-05   0.424077E-05   0.101601E-05   0.196383E-07
   494   0.239983E+04  -0.653377E+02   0.418034E-05  -0.653377E+02   0.886334E+01   0.995405E-06   0.418034E-05   0.995405E-06   0.195815E-07
   495   0.240885E+04  -0.645178E+02   0.412204E-05  -0.645178E+02   0.873052E+01   0.974846E-06   0.412204E-05   0.974846E-06   0.195250E-07
   496   0.241772E+04  -0.636721E+02   0.406581E-05  -0.636721E+02   0.860075E+01   0.954354E-06   0.406581E-05   0.954354E-06   0.194687E-07
   497   0.242643E+04  -0.628015E+02   0.401159E-05  -0.628015E+02   0.847417E+01   0.933950E-06   0.401159E-05   0.933950E-06   0.194126E-07
   498   0.243497E+04  -0.619063E+02   0.395933E-05  -0.619063E+02   0.835086E+01   0.913654E-06   0.395933E-05   0.913654E-06   0.193568E-07
   499   0.244334E+04  -0.609873E+02   0.390897E-05  -0.609873E+02   0.823090E+01   0.893485E-06   0.390897E-05   0.893485E-06   0.193011E-07
   500   0.245154E+04  -0.600447E+02   0.386044E-05  -0.600447E+02   0.811442E+01   0.873465E-06   0.386044E-05   0.873465E-06   0.192458E-07
   501   0.245955E+04  -0.590793E+02   0.381371E-05  -0.590793E+02   0.800144E+01   0.853609E-06   0.381371E-05   0.853609E-06   0.191906E-07
   502   0.246737E+04  -0.580917E+02   0.376873E-05  -0.580917E+02   0.789209E+01   0.833919E-06   0.376873E-05   0.833919E-06   0.191357E-07
   503   0.247500E+04  -0.570825E+02   0.372550E-05  -0.570825E+02   0.778639E+01   0.814390E-06   0.372550E-05   0.814390E-06   0.190809E-07
   504   0.248244E+04  -0.560526E+02   0.368400E-05  -0.560526E+02   0.768455E+01   0.795021E-06   0.368400E-05   0.795021E-06   0.190265E-07
   505   0.248969E+04  -0.550025E+02   0.364421E-05  -0.550025E+02   0.758649E+01   0.775807E-06   0.364421E-05   0.775807E-06   0.189722E-07
   506   0.249674E+04  -0.539329E+02   0.360611E-05  -0.539329E+02   0.749238E+01   0.756746E-06   0.360611E-05   0.756746E-06   0.189182E-07
   507   0.250359E+04  -0.528446E+02   0.356969E-05  -0.528446E+02   0.740229E+01   0.737835E-06   0.356969E-05   0.737835E-06   0.188643E-07
   508   0.251025E+04  -0.517381E+02   0.353492E-05  -0.517381E+02   0.731630E+01   0.719070E-06   0.353492E-05   0.719070E-06   0.188107E-07
   509   0.251670E+04  -0.506142E+02   0.350179E-05  -0.506142E+02   0.723446E+01   0.700448E-06   0.350179E-05   0.700448E-06   0.187573E-07
