#    L    TT             EE             BB             TE             PP             TP             EP          
    55   0.152643E+04   0.161456E+00   0.000000E+00  -0.555403E+00   0.129649E-06   0.736733E-03  -0.968586E-06
    56   0.154755E+04   0.170734E+00   0.000000E+00  -0.810642E+00   0.129070E-06   0.723374E-03  -0.935974E-06
    57   0.156900E+04   0.180307E+00   0.000000E+00  -0.107985E+01   0.128480E-06   0.710525E-03  -0.835963E-06
    58   0.159073E+04   0.190175E+00   0.000000E+00  -0.136322E+01   0.127880E-06   0.698123E-03  -0.699244E-06
    59   0.161265E+04   0.200335E+00   0.000000E+00  -0.166068E+01   0.127271E-06   0.686105E-03  -0.556450E-06
    60   0.163475E+04   0.210780E+00   0.000000E+00  -0.197172E+01   0.126652E-06   0.674406E-03  -0.438161E-06
    61   0.165702E+04   0.221503E+00   0.000000E+00  -0.229588E+01   0.126025E-06   0.662974E-03  -0.368925E-06
    62   0.167948E+04   0.232500E+00   0.000000E+00  -0.263314E+01   0.125390E-06   0.651784E-03  -0.349343E-06
    63   0.170214E+04   0.243769E+00   0.000000E+00  -0.298363E+01   0.124749E-06   0.640824E-03  -0.374042E-06
    64   0.172501E+04   0.255308E+00   0.000000E+00  -0.334748E+01   0.124102E-06   0.630078E-03  -0.437663E-06
    65   0.174812E+04   0.267116E+00   0.000000E+00  -0.372485E+01   0.123451E-06   0.619533E-03  -0.534856E-06
    66   0.177149E+04   0.279187E+00   0.000000E+00  -0.411596E+01   0.122796E-06   0.609183E-03  -0.658415E-06
    67   0.179513E+04   0.291512E+00   0.000000E+00  -0.452028E+01   0.122138E-06   0.599048E-03  -0.793701E-06
    68   0.181897E+04   0.304083E+00   0.000000E+00  -0.493709E+01   0.121477E-06   0.589159E-03  -0.924228E-06
    69   0.184299E+04   0.316891E+00   0.000000E+00  -0.536571E+01   0.120814E-06   0.579542E-03  -0.103353E-05
    70   0.186715E+04   0.329929E+00   0.000000E+00  -0.580564E+01   0.120149E-06   0.570228E-03  -0.110518E-05
    71   0.189143E+04   0.343194E+00   0.000000E+00  -0.625670E+01   0.119483E-06   0.561238E-03  -0.112726E-05
    72   0.191594E+04   0.356681E+00   0.000000E+00  -0.671977E+01   0.118816E-06   0.552560E-03  -0.110605E-05
    73   0.194079E+04   0.370384E+00   0.000000E+00  -0.719578E+01   0.118147E-06   0.544180E-03  -0.105230E-05
