#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.186337E-03   0.196799E+08   0.196798E+08   0.222496E+08   0.221679E+08   0.196702E+08   0.196799E+08   0.196799E+08   0.196052E+08  -0.475715E+00   0.103781E+08   0.103781E+08   0.870015E+02
   0.205746E-03   0.196779E+08   0.196777E+08   0.214515E+08   0.213546E+08   0.196655E+08   0.196778E+08   0.196778E+08   0.196028E+08  -0.475610E+00   0.103769E+08   0.103769E+08   0.950787E+02
   0.227175E-03   0.196754E+08   0.196752E+08   0.205144E+08   0.204003E+08   0.196598E+08   0.196753E+08   0.196753E+08   0.196000E+08  -0.475485E+00   0.103755E+08   0.103754E+08   0.103677E+03
   0.250837E-03   0.196723E+08   0.196721E+08   0.194235E+08   0.192902E+08   0.196529E+08   0.196722E+08   0.196723E+08   0.195966E+08  -0.475333E+00   0.103738E+08   0.103737E+08   0.112751E+03
   0.276963E-03   0.196687E+08   0.196684E+08   0.181668E+08   0.180126E+08   0.196445E+08   0.196685E+08   0.196686E+08   0.195926E+08  -0.475151E+00   0.103717E+08   0.103716E+08   0.122228E+03
   0.305811E-03   0.196642E+08   0.196639E+08   0.167378E+08   0.165614E+08   0.196343E+08   0.196640E+08   0.196642E+08   0.195877E+08  -0.474933E+00   0.103691E+08   0.103690E+08   0.131990E+03
   0.337663E-03   0.196589E+08   0.196585E+08   0.151388E+08   0.149401E+08   0.196219E+08   0.196587E+08   0.196588E+08   0.195819E+08  -0.474673E+00   0.103661E+08   0.103659E+08   0.141874E+03
   0.372832E-03   0.196525E+08   0.196520E+08   0.133853E+08   0.131654E+08   0.196070E+08   0.196522E+08   0.196524E+08   0.195750E+08  -0.474364E+00   0.103624E+08   0.103622E+08   0.151661E+03
   0.411665E-03   0.196447E+08   0.196442E+08   0.115102E+08   0.112724E+08   0.195889E+08   0.196444E+08   0.196447E+08   0.195668E+08  -0.473999E+00   0.103580E+08   0.103578E+08   0.161068E+03
   0.454543E-03   0.196355E+08   0.196348E+08   0.956816E+07   0.931824E+07   0.195671E+08   0.196351E+08   0.196354E+08   0.195571E+08  -0.473570E+00   0.103527E+08   0.103525E+08   0.169746E+03
   0.501886E-03   0.196245E+08   0.196237E+08   0.763686E+07   0.738359E+07   0.195409E+08   0.196240E+08   0.196244E+08   0.195458E+08  -0.473070E+00   0.103465E+08   0.103462E+08   0.177291E+03
   0.554161E-03   0.196114E+08   0.196104E+08   0.581459E+07   0.556967E+07   0.195094E+08   0.196108E+08   0.196112E+08   0.195326E+08  -0.472491E+00   0.103391E+08   0.103388E+08   0.183262E+03
   0.611880E-03   0.195959E+08   0.195948E+08   0.420971E+07   0.398695E+07   0.194716E+08   0.195952E+08   0.195957E+08   0.195173E+08  -0.471826E+00   0.103303E+08   0.103300E+08   0.187211E+03
   0.675611E-03   0.195777E+08   0.195764E+08   0.292069E+07   0.273415E+07   0.194265E+08   0.195768E+08   0.195775E+08   0.194997E+08  -0.471070E+00   0.103201E+08   0.103197E+08   0.188741E+03
   0.745980E-03   0.195563E+08   0.195549E+08   0.200734E+07   0.186835E+07   0.193728E+08   0.195552E+08   0.195561E+08   0.194794E+08  -0.470220E+00   0.103082E+08   0.103077E+08   0.187564E+03
   0.823679E-03   0.195314E+08   0.195298E+08   0.146099E+07   0.137449E+07   0.193090E+08   0.195302E+08   0.195312E+08   0.194563E+08  -0.469273E+00   0.102944E+08   0.102939E+08   0.183566E+03
   0.909470E-03   0.195026E+08   0.195008E+08   0.118954E+07   0.115118E+07   0.192336E+08   0.195011E+08   0.195023E+08   0.194300E+08  -0.468228E+00   0.102785E+08   0.102780E+08   0.176846E+03
   0.100420E-02   0.194693E+08   0.194674E+08   0.103925E+07   0.103516E+07   0.191448E+08   0.194676E+08   0.194690E+08   0.194000E+08  -0.467084E+00   0.102603E+08   0.102598E+08   0.167718E+03
   0.110879E-02   0.194312E+08   0.194291E+08   0.863505E+06   0.874506E+06   0.190406E+08   0.194291E+08   0.194308E+08   0.193658E+08  -0.465841E+00   0.102397E+08   0.102391E+08   0.156657E+03
   0.122428E-02   0.193875E+08   0.193854E+08   0.612165E+06   0.621387E+06   0.189191E+08   0.193851E+08   0.193872E+08   0.193268E+08  -0.464493E+00   0.102162E+08   0.102157E+08   0.144215E+03
