#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.226616E+00   0.889841E+06   0.884900E+06  -0.408819E+00  -0.416988E+00   0.226384E+05   0.885160E+06   0.889065E+06   0.885160E+06  -0.211455E-01   0.467338E+06   0.467283E+06   0.800141E-01
   0.232039E+00   0.859221E+06   0.854408E+06  -0.376519E+00  -0.384042E+00   0.210383E+05   0.854690E+06   0.858465E+06   0.854690E+06  -0.204177E-01   0.451252E+06   0.451199E+06   0.756437E-01
   0.237463E+00   0.832850E+06   0.828278E+06  -0.348494E+00  -0.355457E+00   0.196415E+05   0.828470E+06   0.832132E+06   0.828470E+06  -0.197913E-01   0.437409E+06   0.437359E+06   0.701500E-01
   0.242886E+00   0.809860E+06   0.805596E+06  -0.323925E+00  -0.330397E+00   0.184092E+05   0.805626E+06   0.809190E+06   0.805626E+06  -0.192456E-01   0.425349E+06   0.425302E+06   0.642148E-01
   0.248309E+00   0.789036E+06   0.785092E+06  -0.301976E+00  -0.308009E+00   0.172997E+05   0.784941E+06   0.788417E+06   0.784941E+06  -0.187514E-01   0.414428E+06   0.414384E+06   0.585591E-01
   0.253733E+00   0.769082E+06   0.765420E+06  -0.281904E+00  -0.287536E+00   0.162747E+05   0.765116E+06   0.768507E+06   0.765116E+06  -0.182778E-01   0.403962E+06   0.403921E+06   0.537486E-01
   0.259156E+00   0.748928E+06   0.745474E+06  -0.263156E+00  -0.268414E+00   0.153054E+05   0.745081E+06   0.748385E+06   0.745081E+06  -0.177992E-01   0.393384E+06   0.393345E+06   0.500814E-01
   0.264579E+00   0.728044E+06   0.724712E+06  -0.245443E+00  -0.250347E+00   0.143775E+05   0.724307E+06   0.727521E+06   0.724307E+06  -0.173029E-01   0.382416E+06   0.382379E+06   0.475656E-01
   0.270003E+00   0.706516E+06   0.703231E+06  -0.228714E+00  -0.233283E+00   0.134901E+05   0.702879E+06   0.706000E+06   0.702879E+06  -0.167910E-01   0.371104E+06   0.371066E+06   0.459714E-01
   0.275426E+00   0.684804E+06   0.681515E+06  -0.213039E+00  -0.217295E+00   0.126494E+05   0.681260E+06   0.684288E+06   0.681260E+06  -0.162746E-01   0.359690E+06   0.359653E+06   0.449288E-01
   0.280849E+00   0.663482E+06   0.660173E+06  -0.198509E+00  -0.202475E+00   0.118624E+05   0.660028E+06   0.662963E+06   0.660028E+06  -0.157674E-01   0.348481E+06   0.348444E+06   0.440409E-01
   0.286273E+00   0.643127E+06   0.639812E+06  -0.185196E+00  -0.188895E+00   0.111356E+05   0.639760E+06   0.642607E+06   0.639760E+06  -0.152832E-01   0.337781E+06   0.337744E+06   0.429853E-01
   0.291696E+00   0.624246E+06   0.620960E+06  -0.173136E+00  -0.176595E+00   0.104730E+05   0.620966E+06   0.623730E+06   0.620966E+06  -0.148342E-01   0.327858E+06   0.327822E+06   0.415770E-01
   0.297119E+00   0.607124E+06   0.603911E+06  -0.162297E+00  -0.165539E+00   0.987446E+04   0.603930E+06   0.606620E+06   0.603930E+06  -0.144273E-01   0.318864E+06   0.318828E+06   0.397837E-01
   0.302543E+00   0.591706E+06   0.588604E+06  -0.152558E+00  -0.155605E+00   0.933412E+04   0.588596E+06   0.591219E+06   0.588596E+06  -0.140609E-01   0.310768E+06   0.310734E+06   0.376996E-01
   0.307966E+00   0.577649E+06   0.574682E+06  -0.143738E+00  -0.146609E+00   0.884235E+04   0.574621E+06   0.577183E+06   0.574621E+06  -0.137271E-01   0.303390E+06   0.303357E+06   0.354958E-01
   0.313389E+00   0.564500E+06   0.561673E+06  -0.135650E+00  -0.138359E+00   0.838883E+04   0.561551E+06   0.564056E+06   0.561551E+06  -0.134149E-01   0.296489E+06   0.296458E+06   0.333628E-01
   0.318813E+00   0.551839E+06   0.549140E+06  -0.128137E+00  -0.130697E+00   0.796471E+04   0.548966E+06   0.551415E+06   0.548966E+06  -0.131142E-01   0.289845E+06   0.289815E+06   0.314590E-01
   0.324236E+00   0.539335E+06   0.536739E+06  -0.121081E+00  -0.123500E+00   0.756343E+04   0.536532E+06   0.538927E+06   0.536532E+06  -0.128172E-01   0.283280E+06   0.283251E+06   0.298765E-01
   0.329659E+00   0.526774E+06   0.524252E+06  -0.114404E+00  -0.116689E+00   0.718060E+04   0.524038E+06   0.526378E+06   0.524038E+06  -0.125187E-01   0.276684E+06   0.276656E+06   0.286292E-01
   0.335083E+00   0.514105E+06   0.511629E+06  -0.108068E+00  -0.110227E+00   0.681450E+04   0.511432E+06   0.513716E+06   0.511431E+06  -0.122176E-01   0.270028E+06   0.270000E+06   0.276636E-01
   0.340506E+00   0.501445E+06   0.498996E+06  -0.102076E+00  -0.104114E+00   0.646571E+04   0.498831E+06   0.501060E+06   0.498831E+06  -0.119165E-01   0.263375E+06   0.263348E+06   0.268843E-01
   0.345929E+00   0.489022E+06   0.486591E+06  -0.964494E-01  -0.983760E-01   0.613611E+04   0.486465E+06   0.488640E+06   0.486465E+06  -0.116211E-01   0.256847E+06   0.256820E+06   0.261843E-01
   0.351352E+00   0.477069E+06   0.474660E+06  -0.912094E-01  -0.930313E-01   0.582746E+04   0.474569E+06   0.476691E+06   0.474569E+06  -0.113369E-01   0.250566E+06   0.250539E+06   0.254716E-01
   0.356776E+00   0.465747E+06   0.463369E+06  -0.863581E-01  -0.880831E-01   0.554032E+04   0.463301E+06   0.465373E+06   0.463301E+06  -0.110678E-01   0.244617E+06   0.244590E+06   0.246871E-01
   0.362199E+00   0.455121E+06   0.452788E+06  -0.818800E-01  -0.835155E-01   0.527416E+04   0.452729E+06   0.454755E+06   0.452729E+06  -0.108152E-01   0.239035E+06   0.239009E+06   0.238122E-01
   0.367622E+00   0.445183E+06   0.442908E+06  -0.777469E-01  -0.792998E-01   0.502752E+04   0.442843E+06   0.444825E+06   0.442843E+06  -0.105791E-01   0.233816E+06   0.233791E+06   0.228650E-01
   0.373046E+00   0.435858E+06   0.433650E+06  -0.739222E-01  -0.753987E-01   0.479838E+04   0.433570E+06   0.435511E+06   0.433570E+06  -0.103575E-01   0.228920E+06   0.228895E+06   0.218885E-01
   0.378469E+00   0.427016E+06   0.424877E+06  -0.703627E-01  -0.717681E-01   0.458424E+04   0.424777E+06   0.426680E+06   0.424777E+06  -0.101475E-01   0.224277E+06   0.224254E+06   0.209340E-01
   0.383892E+00   0.418493E+06   0.416420E+06  -0.670246E-01  -0.683633E-01   0.438248E+04   0.416302E+06   0.418167E+06   0.416302E+06  -0.994502E-02   0.219803E+06   0.219780E+06   0.200470E-01
   0.389316E+00   0.410145E+06   0.408130E+06  -0.638710E-01  -0.651467E-01   0.419093E+04   0.408001E+06   0.409829E+06   0.408001E+06  -0.974671E-02   0.215420E+06   0.215397E+06   0.192563E-01
   0.394739E+00   0.401889E+06   0.399921E+06  -0.608777E-01  -0.620937E-01   0.400816E+04   0.399788E+06   0.401580E+06   0.399788E+06  -0.955051E-02   0.211084E+06   0.211062E+06   0.185707E-01
   0.400162E+00   0.393706E+06   0.391775E+06  -0.580329E-01  -0.591920E-01   0.383356E+04   0.391647E+06   0.393403E+06   0.391647E+06  -0.935604E-02   0.206786E+06   0.206764E+06   0.179796E-01
   0.405586E+00   0.385629E+06   0.383728E+06  -0.553325E-01  -0.564377E-01   0.366701E+04   0.383611E+06   0.385331E+06   0.383611E+06  -0.916405E-02   0.202542E+06   0.202521E+06   0.174590E-01
   0.411009E+00   0.377715E+06   0.375839E+06  -0.527760E-01  -0.538301E-01   0.350863E+04   0.375735E+06   0.377420E+06   0.375735E+06  -0.897591E-02   0.198384E+06   0.198363E+06   0.169793E-01
   0.416432E+00   0.370023E+06   0.368172E+06  -0.503633E-01  -0.513693E-01   0.335854E+04   0.368081E+06   0.369732E+06   0.368081E+06  -0.879306E-02   0.194343E+06   0.194323E+06   0.165127E-01
   0.421856E+00   0.362610E+06   0.360786E+06  -0.480936E-01  -0.490542E-01   0.321680E+04   0.360705E+06   0.362324E+06   0.360705E+06  -0.861687E-02   0.190449E+06   0.190429E+06   0.160397E-01
   0.427279E+00   0.355518E+06   0.353725E+06  -0.459637E-01  -0.468817E-01   0.308334E+04   0.353649E+06   0.355236E+06   0.353649E+06  -0.844831E-02   0.186724E+06   0.186704E+06   0.155519E-01
   0.432702E+00   0.348756E+06   0.346999E+06  -0.439665E-01  -0.448446E-01   0.295779E+04   0.346923E+06   0.348480E+06   0.346923E+06  -0.828763E-02   0.183172E+06   0.183153E+06   0.150510E-01
   0.438126E+00   0.342296E+06   0.340576E+06  -0.420906E-01  -0.429312E-01   0.283948E+04   0.340497E+06   0.342025E+06   0.340497E+06  -0.813411E-02   0.179779E+06   0.179760E+06   0.145466E-01
   0.443549E+00   0.336082E+06   0.334401E+06  -0.403223E-01  -0.411277E-01   0.272760E+04   0.334317E+06   0.335818E+06   0.334317E+06  -0.798647E-02   0.176516E+06   0.176498E+06   0.140519E-01
   0.448972E+00   0.330064E+06   0.328421E+06  -0.386496E-01  -0.394216E-01   0.262140E+04   0.328331E+06   0.329806E+06   0.328331E+06  -0.784349E-02   0.173356E+06   0.173338E+06   0.135800E-01
   0.454396E+00   0.324203E+06   0.322596E+06  -0.370628E-01  -0.378030E-01   0.252030E+04   0.322502E+06   0.323951E+06   0.322502E+06  -0.770423E-02   0.170278E+06   0.170261E+06   0.131402E-01
   0.459819E+00   0.318466E+06   0.316891E+06  -0.355534E-01  -0.362635E-01   0.242378E+04   0.316795E+06   0.318219E+06   0.316795E+06  -0.756791E-02   0.167266E+06   0.167248E+06   0.127368E-01
   0.465242E+00   0.312828E+06   0.311280E+06  -0.341145E-01  -0.347959E-01   0.233145E+04   0.311186E+06   0.312585E+06   0.311186E+06  -0.743391E-02   0.164304E+06   0.164287E+06   0.123679E-01
   0.470666E+00   0.307282E+06   0.305759E+06  -0.327420E-01  -0.333960E-01   0.224307E+04   0.305669E+06   0.307043E+06   0.305669E+06  -0.730211E-02   0.161391E+06   0.161374E+06   0.120277E-01
   0.476089E+00   0.301847E+06   0.300347E+06  -0.314344E-01  -0.320622E-01   0.215858E+04   0.300262E+06   0.301612E+06   0.300262E+06  -0.717294E-02   0.158536E+06   0.158520E+06   0.117082E-01
   0.481512E+00   0.296551E+06   0.295073E+06  -0.301911E-01  -0.307941E-01   0.207800E+04   0.294992E+06   0.296319E+06   0.294992E+06  -0.704706E-02   0.155754E+06   0.155738E+06   0.114012E-01
   0.486936E+00   0.291410E+06   0.289954E+06  -0.290106E-01  -0.295900E-01   0.200126E+04   0.289878E+06   0.291181E+06   0.289878E+06  -0.692488E-02   0.153054E+06   0.153038E+06   0.111004E-01
   0.492359E+00   0.286431E+06   0.284998E+06  -0.278903E-01  -0.284473E-01   0.192823E+04   0.284925E+06   0.286206E+06   0.284925E+06  -0.680655E-02   0.150438E+06   0.150423E+06   0.108017E-01
   0.497782E+00   0.281614E+06   0.280204E+06  -0.268270E-01  -0.273628E-01   0.185874E+04   0.280133E+06   0.281393E+06   0.280133E+06  -0.669208E-02   0.147908E+06   0.147893E+06   0.105043E-01
   0.503206E+00   0.276956E+06   0.275571E+06  -0.258178E-01  -0.263334E-01   0.179259E+04   0.275499E+06   0.276739E+06   0.275499E+06  -0.658139E-02   0.145462E+06   0.145447E+06   0.102099E-01
   0.508629E+00   0.272448E+06   0.271087E+06  -0.248588E-01  -0.253553E-01   0.172959E+04   0.271015E+06   0.272234E+06   0.271015E+06  -0.647425E-02   0.143094E+06   0.143079E+06   0.992186E-02
   0.514052E+00   0.268069E+06   0.266734E+06  -0.239461E-01  -0.244243E-01   0.166946E+04   0.266660E+06   0.267860E+06   0.266660E+06  -0.637022E-02   0.140795E+06   0.140780E+06   0.964358E-02
   0.519476E+00   0.263800E+06   0.262488E+06  -0.230753E-01  -0.235362E-01   0.161195E+04   0.262413E+06   0.263594E+06   0.262413E+06  -0.626877E-02   0.138553E+06   0.138538E+06   0.937784E-02
   0.524899E+00   0.259622E+06   0.258332E+06  -0.222431E-01  -0.226874E-01   0.155684E+04   0.258258E+06   0.259420E+06   0.258258E+06  -0.616950E-02   0.136359E+06   0.136344E+06   0.912613E-02
   0.530322E+00   0.255531E+06   0.254261E+06  -0.214471E-01  -0.218755E-01   0.150398E+04   0.254187E+06   0.255331E+06   0.254187E+06  -0.607226E-02   0.134210E+06   0.134195E+06   0.888857E-02
   0.535746E+00   0.251524E+06   0.250274E+06  -0.206856E-01  -0.210987E-01   0.145329E+04   0.250201E+06   0.251327E+06   0.250201E+06  -0.597704E-02   0.132105E+06   0.132091E+06   0.866389E-02
   0.541169E+00   0.247602E+06   0.246370E+06  -0.199570E-01  -0.203556E-01   0.140466E+04   0.246299E+06   0.247408E+06   0.246299E+06  -0.588383E-02   0.130045E+06   0.130031E+06   0.844994E-02
   0.546592E+00   0.243765E+06   0.242552E+06  -0.192599E-01  -0.196445E-01   0.135802E+04   0.242483E+06   0.243575E+06   0.242483E+06  -0.579266E-02   0.128030E+06   0.128016E+06   0.824420E-02
   0.552016E+00   0.240018E+06   0.238822E+06  -0.185931E-01  -0.189644E-01   0.131330E+04   0.238755E+06   0.239831E+06   0.238755E+06  -0.570362E-02   0.126062E+06   0.126048E+06   0.804450E-02
   0.557439E+00   0.236368E+06   0.235189E+06  -0.179557E-01  -0.183143E-01   0.127047E+04   0.235124E+06   0.236182E+06   0.235124E+06  -0.561686E-02   0.124144E+06   0.124131E+06   0.784938E-02
   0.562862E+00   0.232816E+06   0.231654E+06  -0.173468E-01  -0.176932E-01   0.122945E+04   0.231590E+06   0.232633E+06   0.231590E+06  -0.553245E-02   0.122279E+06   0.122266E+06   0.765814E-02
   0.568286E+00   0.229359E+06   0.228215E+06  -0.167646E-01  -0.170995E-01   0.119015E+04   0.228152E+06   0.229180E+06   0.228152E+06  -0.545031E-02   0.120463E+06   0.120451E+06   0.747081E-02
   0.573709E+00   0.225990E+06   0.224863E+06  -0.162076E-01  -0.165313E-01   0.115247E+04   0.224801E+06   0.225813E+06   0.224801E+06  -0.537025E-02   0.118694E+06   0.118681E+06   0.728788E-02
   0.579132E+00   0.222702E+06   0.221593E+06  -0.156741E-01  -0.159871E-01   0.111631E+04   0.221530E+06   0.222528E+06   0.221530E+06  -0.529212E-02   0.116967E+06   0.116955E+06   0.711019E-02
   0.580825E+00   0.221696E+06   0.220591E+06  -0.155124E-01  -0.158222E-01   0.110534E+04   0.220529E+06   0.221522E+06   0.220529E+06  -0.526820E-02   0.116438E+06   0.116426E+06   0.705532E-02
   0.604055E+00   0.208508E+06   0.207470E+06  -0.134892E-01  -0.137586E-01   0.967371E+03   0.207410E+06   0.208345E+06   0.207410E+06  -0.495481E-02   0.109512E+06   0.109500E+06   0.637507E-02
   0.628214E+00   0.196007E+06   0.195030E+06  -0.117240E-01  -0.119581E-01   0.845978E+03   0.194974E+06   0.195853E+06   0.194974E+06  -0.465773E-02   0.102946E+06   0.102935E+06   0.576844E-02
   0.653340E+00   0.184256E+06   0.183339E+06  -0.101898E-01  -0.103933E-01   0.739633E+03   0.183285E+06   0.184112E+06   0.183285E+06  -0.437849E-02   0.967742E+05   0.967640E+05   0.520974E-02
   0.818533E+00   0.128605E+06   0.127965E+06  -0.453129E-02  -0.462178E-02   0.338686E+03   0.127927E+06   0.128505E+06   0.127927E+06  -0.305604E-02   0.675454E+05   0.675382E+05   0.290036E-02
   0.102549E+01   0.892200E+05   0.887762E+05  -0.200281E-02  -0.204281E-02   0.153080E+03   0.887491E+05   0.891503E+05   0.887491E+05  -0.212012E-02   0.468596E+05   0.468547E+05   0.160466E-02
   0.128479E+01   0.615592E+05   0.612530E+05  -0.880404E-03  -0.897985E-03   0.684211E+02   0.612342E+05   0.615111E+05   0.612342E+05  -0.146282E-02   0.323317E+05   0.323283E+05   0.882829E-03
   0.160964E+01   0.422654E+05   0.420553E+05  -0.385109E-03  -0.392800E-03   0.302941E+02   0.420422E+05   0.422324E+05   0.420422E+05  -0.100434E-02   0.221984E+05   0.221960E+05   0.483169E-03
   0.201662E+01   0.288905E+05   0.287469E+05  -0.167711E-03  -0.171060E-03   0.133071E+02   0.287379E+05   0.288680E+05   0.287379E+05  -0.686519E-03   0.151737E+05   0.151721E+05   0.263128E-03
   0.252652E+01   0.196689E+05   0.195711E+05  -0.727434E-04  -0.741960E-04   0.580665E+01   0.195650E+05   0.196535E+05   0.195650E+05  -0.467387E-03   0.103304E+05   0.103293E+05   0.142595E-03
   0.316533E+01   0.133421E+05   0.132758E+05  -0.314372E-04  -0.320650E-04   0.251976E+01   0.132716E+05   0.133317E+05   0.132716E+05  -0.317045E-03   0.700745E+04   0.700672E+04   0.768854E-04
   0.396567E+01   0.902047E+04   0.897567E+04  -0.135412E-04  -0.138116E-04   0.108834E+01   0.897282E+04   0.901344E+04   0.897282E+04  -0.214351E-03   0.473767E+04   0.473718E+04   0.412246E-04
   0.496836E+01   0.608026E+04   0.605007E+04  -0.581505E-05  -0.593118E-05   0.468224E+00   0.604813E+04   0.607551E+04   0.604813E+04  -0.144484E-03   0.319343E+04   0.319310E+04   0.219572E-04
   0.622459E+01   0.408711E+04   0.406682E+04  -0.249031E-05  -0.254004E-05   0.200758E+00   0.406552E+04   0.408392E+04   0.406552E+04  -0.971209E-04   0.214660E+04   0.214639E+04   0.115947E-04
   0.779844E+01   0.274037E+04   0.272678E+04  -0.106378E-05  -0.108502E-05   0.858242E-01   0.272590E+04   0.273824E+04   0.272590E+04  -0.651188E-04   0.143928E+04   0.143914E+04   0.604940E-05
