#    L    TT             EE             BB             TE          
    91   0.243456E+04   0.642669E+00   0.254893E-02  -0.174628E+02
    92   0.246397E+04   0.658253E+00   0.260565E-02  -0.181017E+02
    93   0.249360E+04   0.673804E+00   0.266303E-02  -0.187451E+02
    94   0.252344E+04   0.689310E+00   0.272108E-02  -0.193926E+02
    95   0.255351E+04   0.704754E+00   0.277980E-02  -0.200438E+02
    96   0.258381E+04   0.720123E+00   0.283920E-02  -0.206981E+02
    97   0.261433E+04   0.735402E+00   0.289929E-02  -0.213553E+02
    98   0.264508E+04   0.750576E+00   0.296005E-02  -0.220148E+02
    99   0.267604E+04   0.765630E+00   0.302150E-02  -0.226761E+02
   100   0.270722E+04   0.780553E+00   0.308364E-02  -0.233387E+02
   101   0.273862E+04   0.795330E+00   0.314648E-02  -0.240020E+02
   102   0.277023E+04   0.809939E+00   0.321002E-02  -0.246659E+02
   103   0.280205E+04   0.824379E+00   0.327426E-02  -0.253293E+02
   104   0.283407E+04   0.838622E+00   0.333921E-02  -0.259921E+02
   105   0.286628E+04   0.852660E+00   0.340487E-02  -0.266535E+02
   106   0.289868E+04   0.866478E+00   0.347124E-02  -0.273130E+02
   107   0.293126E+04   0.880068E+00   0.353834E-02  -0.279700E+02
   108   0.296400E+04   0.893410E+00   0.360616E-02  -0.286241E+02
   109   0.299692E+04   0.906495E+00   0.367470E-02  -0.292744E+02
   110   0.302999E+04   0.919301E+00   0.374398E-02  -0.299206E+02
   111   0.306322E+04   0.931821E+00   0.381400E-02  -0.305622E+02
   112   0.309659E+04   0.944047E+00   0.388475E-02  -0.311983E+02
   113   0.313011E+04   0.955957E+00   0.395626E-02  -0.318287E+02
   114   0.316376E+04   0.967537E+00   0.402851E-02  -0.324525E+02
   115   0.319754E+04   0.978785E+00   0.410152E-02  -0.330694E+02
   116   0.323144E+04   0.989688E+00   0.417529E-02  -0.336788E+02
   117   0.326546E+04   0.100022E+01   0.424983E-02  -0.342799E+02
   118   0.329958E+04   0.101039E+01   0.432513E-02  -0.348724E+02
   119   0.333380E+04   0.102017E+01   0.440122E-02  -0.354556E+02
   120   0.336811E+04   0.102956E+01   0.447808E-02  -0.360290E+02
   121   0.340251E+04   0.103855E+01   0.455573E-02  -0.365919E+02
   122   0.343697E+04   0.104712E+01   0.463417E-02  -0.371440E+02
   123   0.347150E+04   0.105528E+01   0.471341E-02  -0.376845E+02
   124   0.350609E+04   0.106299E+01   0.479345E-02  -0.382130E+02
   125   0.354072E+04   0.107028E+01   0.487431E-02  -0.387289E+02
   126   0.357540E+04   0.107711E+01   0.495598E-02  -0.392317E+02
   127   0.361010E+04   0.108349E+01   0.503846E-02  -0.397207E+02
   128   0.364483E+04   0.108941E+01   0.512178E-02  -0.401956E+02
   129   0.367957E+04   0.109486E+01   0.520593E-02  -0.406559E+02
   130   0.371431E+04   0.109983E+01   0.529092E-02  -0.411008E+02
   131   0.374904E+04   0.110432E+01   0.537676E-02  -0.415299E+02
   132   0.378377E+04   0.110833E+01   0.546345E-02  -0.419428E+02
   133   0.381847E+04   0.111185E+01   0.555099E-02  -0.423390E+02
   134   0.385314E+04   0.111488E+01   0.563941E-02  -0.427179E+02
   135   0.388777E+04   0.111742E+01   0.572870E-02  -0.430792E+02
   136   0.392236E+04   0.111947E+01   0.581886E-02  -0.434222E+02
   137   0.395690E+04   0.112102E+01   0.590991E-02  -0.437467E+02
   138   0.399138E+04   0.112207E+01   0.600186E-02  -0.440521E+02
   139   0.402578E+04   0.112263E+01   0.609470E-02  -0.443380E+02
   140   0.406011E+04   0.112269E+01   0.618845E-02  -0.446041E+02
   141   0.409435E+04   0.112227E+01   0.628311E-02  -0.448499E+02
   142   0.412850E+04   0.112135E+01   0.637869E-02  -0.450749E+02
   143   0.416256E+04   0.111995E+01   0.647519E-02  -0.452789E+02
   144   0.419649E+04   0.111807E+01   0.657262E-02  -0.454615E+02
   145   0.423031E+04   0.111570E+01   0.667099E-02  -0.456221E+02
   146   0.426398E+04   0.111285E+01   0.677031E-02  -0.457604E+02
   147   0.429750E+04   0.110955E+01   0.687057E-02  -0.458760E+02
   148   0.433085E+04   0.110578E+01   0.697179E-02  -0.459686E+02
   149   0.436403E+04   0.110156E+01   0.707396E-02  -0.460377E+02
   150   0.439700E+04   0.109689E+01   0.717711E-02  -0.460828E+02
   151   0.442976E+04   0.109178E+01   0.728122E-02  -0.461038E+02
   152   0.446231E+04   0.108625E+01   0.738630E-02  -0.461002E+02
   153   0.449463E+04   0.108029E+01   0.749237E-02  -0.460719E+02
   154   0.452672E+04   0.107394E+01   0.759941E-02  -0.460186E+02
   155   0.455858E+04   0.106719E+01   0.770745E-02  -0.459401E+02
   156   0.459022E+04   0.106006E+01   0.781647E-02  -0.458361E+02
   157   0.462160E+04   0.105256E+01   0.792649E-02  -0.457063E+02
   158   0.465274E+04   0.104471E+01   0.803750E-02  -0.455506E+02
   159   0.468362E+04   0.103651E+01   0.814951E-02  -0.453687E+02
   160   0.471424E+04   0.102800E+01   0.826253E-02  -0.451605E+02
   161   0.474456E+04   0.101917E+01   0.837654E-02  -0.449257E+02
   162   0.477459E+04   0.101006E+01   0.849155E-02  -0.446643E+02
   163   0.480432E+04   0.100068E+01   0.860757E-02  -0.443757E+02
   164   0.483371E+04   0.991049E+00   0.872460E-02  -0.440602E+02
