 a		phi		phidot		fde
    0.138047E-06    0.155000E+00   -0.302293-141    0.312013-143
    0.138493E-06    0.155000E+00   -0.306447-141    0.316063-143
    0.138940E-06    0.155000E+00   -0.310634-141    0.320165-143
    0.139389E-06    0.155000E+00   -0.314854-141    0.324320-143
    0.139839E-06    0.155000E+00   -0.319107-141    0.328530-143
    0.140291E-06    0.155000E+00   -0.323393-141    0.332794-143
    0.140744E-06    0.155000E+00   -0.327714-141    0.337113-143
    0.141198E-06    0.155000E+00   -0.332069-141    0.341489-143
    0.141654E-06    0.155000E+00   -0.336459-141    0.345921-143
    0.142112E-06    0.155000E+00   -0.340884-141    0.350411-143
    0.142571E-06    0.155000E+00   -0.345345-141    0.354959-143
    0.143031E-06    0.155000E+00   -0.349842-141    0.359566-143
    0.143493E-06    0.155000E+00   -0.354375-141    0.364232-143
    0.143957E-06    0.155000E+00   -0.358945-141    0.368960-143
    0.144422E-06    0.155000E+00   -0.363552-141    0.373749-143
    0.144888E-06    0.155000E+00   -0.368197-141    0.378599-143
    0.145356E-06    0.155000E+00   -0.372879-141    0.383513-143
    0.145825E-06    0.155000E+00   -0.377600-141    0.388491-143
    0.146296E-06    0.155000E+00   -0.382360-141    0.393533-143
    0.146769E-06    0.155000E+00   -0.387159-141    0.398641-143
    0.147243E-06    0.155000E+00   -0.391998-141    0.403815-143
    0.147718E-06    0.155000E+00   -0.396877-141    0.409056-143
    0.148195E-06    0.155000E+00   -0.401797-141    0.414365-143
    0.148674E-06    0.155000E+00   -0.406757-141    0.419743-143
    0.149154E-06    0.155000E+00   -0.411759-141    0.425191-143
    0.149636E-06    0.155000E+00   -0.416803-141    0.430710-143
    0.150119E-06    0.155000E+00   -0.421889-141    0.436300-143
    0.150604E-06    0.155000E+00   -0.427018-141    0.441963-143
    0.151090E-06    0.155000E+00   -0.432190-141    0.447699-143
    0.151578E-06    0.155000E+00   -0.437406-141    0.453509-143
    0.152068E-06    0.155000E+00   -0.442666-141    0.459396-143
    0.152559E-06    0.155000E+00   -0.447970-141    0.465358-143
    0.153051E-06    0.155000E+00   -0.453320-141    0.471398-143
    0.153546E-06    0.155000E+00   -0.458715-141    0.477516-143
    0.154041E-06    0.155000E+00   -0.464157-141    0.483714-143
    0.154539E-06    0.155000E+00   -0.469645-141    0.489992-143
    0.155038E-06    0.155000E+00   -0.475180-141    0.496352-143
    0.155539E-06    0.155000E+00   -0.480762-141    0.502794-143
    0.156041E-06    0.155000E+00   -0.486393-141    0.509319-143
    0.156545E-06    0.155000E+00   -0.492072-141    0.515930-143
    0.157050E-06    0.155000E+00   -0.497800-141    0.522626-143
    0.157558E-06    0.155000E+00   -0.503578-141    0.529409-143
    0.158066E-06    0.155000E+00   -0.509406-141    0.536280-143
    0.158577E-06    0.155000E+00   -0.515285-141    0.543241-143
    0.159089E-06    0.155000E+00   -0.521215-141    0.550291-143
    0.159603E-06    0.155000E+00   -0.527196-141    0.557433-143
    0.160118E-06    0.155000E+00   -0.533230-141    0.564668-143
    0.160635E-06    0.155000E+00   -0.539316-141    0.571997-143
    0.161154E-06    0.155000E+00   -0.545456-141    0.579421-143
    0.161675E-06    0.155000E+00   -0.551650-141    0.586941-143
    0.162197E-06    0.155000E+00   -0.557898-141    0.594559-143
    0.162721E-06    0.155000E+00   -0.564201-141    0.602276-143
    0.163246E-06    0.155000E+00   -0.570560-141    0.610093-143
    0.163773E-06    0.155000E+00   -0.576975-141    0.618011-143
    0.164302E-06    0.155000E+00   -0.583447-141    0.626032-143
    0.164833E-06    0.155000E+00   -0.589976-141    0.634157-143
    0.165365E-06    0.155000E+00   -0.596563-141    0.642388-143
    0.165899E-06    0.155000E+00   -0.603209-141    0.650725-143
    0.166435E-06    0.155000E+00   -0.609914-141    0.659171-143
    0.166972E-06    0.155000E+00   -0.616678-141    0.667726-143
    0.167512E-06    0.155000E+00   -0.623503-141    0.676393-143
    0.168053E-06    0.155000E+00   -0.630389-141    0.685171-143
    0.168595E-06    0.155000E+00   -0.637336-141    0.694064-143
    0.169140E-06    0.155000E+00   -0.644346-141    0.703072-143
    0.169686E-06    0.155000E+00   -0.651418-141    0.712197-143
    0.170234E-06    0.155000E+00   -0.658555-141    0.721441-143
    0.170784E-06    0.155000E+00   -0.665755-141    0.730804-143
    0.171335E-06    0.155000E+00   -0.673020-141    0.740289-143
    0.171889E-06    0.155000E+00   -0.680351-141    0.749897-143
    0.172444E-06    0.155000E+00   -0.687747-141    0.759630-143
    0.173001E-06    0.155000E+00   -0.695211-141    0.769489-143
    0.173559E-06    0.155000E+00   -0.702742-141    0.779476-143
    0.174120E-06    0.155000E+00   -0.710342-141    0.789593-143
    0.174682E-06    0.155000E+00   -0.718010-141    0.799840-143
    0.175246E-06    0.155000E+00   -0.725748-141    0.810221-143
    0.175812E-06    0.155000E+00   -0.733556-141    0.820737-143
    0.176380E-06    0.155000E+00   -0.741435-141    0.831389-143
    0.176950E-06    0.155000E+00   -0.749386-141    0.842180-143
    0.177521E-06    0.155000E+00   -0.757410-141    0.853110-143
    0.178094E-06    0.155000E+00   -0.765506-141    0.864182-143
    0.178669E-06    0.155000E+00   -0.773677-141    0.875398-143
    0.179247E-06    0.155000E+00   -0.781922-141    0.886760-143
    0.179825E-06    0.155000E+00   -0.790243-141    0.898269-143
    0.180406E-06    0.155000E+00   -0.798640-141    0.909927-143
    0.180989E-06    0.155000E+00   -0.807114-141    0.921737-143
    0.181573E-06    0.155000E+00   -0.815666-141    0.933700-143
    0.182160E-06    0.155000E+00   -0.824297-141    0.945818-143
    0.182748E-06    0.155000E+00   -0.833007-141    0.958093-143
    0.183338E-06    0.155000E+00   -0.841796-141    0.970528-143
    0.183930E-06    0.155000E+00   -0.850667-141    0.983124-143
    0.184524E-06    0.155000E+00   -0.859620-141    0.995884-143
    0.185120E-06    0.155000E+00   -0.868655-141    0.100881-142
    0.185718E-06    0.155000E+00   -0.877774-141    0.102190-142
    0.186318E-06    0.155000E+00   -0.886977-141    0.103516-142
    0.186919E-06    0.155000E+00   -0.896265-141    0.104860-142
    0.187523E-06    0.155000E+00   -0.905639-141    0.106221-142
    0.188129E-06    0.155000E+00   -0.915100-141    0.107600-142
    0.188736E-06    0.155000E+00   -0.924649-141    0.108996-142
    0.189346E-06    0.155000E+00   -0.934286-141    0.110411-142
    0.189957E-06    0.155000E+00   -0.944013-141    0.111844-142
    0.190571E-06    0.155000E+00   -0.953830-141    0.113295-142
    0.191186E-06    0.155000E+00   -0.963738-141    0.114766-142
    0.191804E-06    0.155000E+00   -0.973739-141    0.116255-142
    0.192423E-06    0.155000E+00   -0.983833-141    0.117764-142
    0.193044E-06    0.155000E+00   -0.994020-141    0.119292-142
    0.193668E-06    0.155000E+00   -0.100430-140    0.120841-142
    0.194293E-06    0.155000E+00   -0.101468-140    0.122409-142
    0.194921E-06    0.155000E+00   -0.102516-140    0.123998-142
    0.195550E-06    0.155000E+00   -0.103573-140    0.125607-142
    0.196182E-06    0.155000E+00   -0.104640-140    0.127237-142
    0.196815E-06    0.155000E+00   -0.105718-140    0.128888-142
    0.197451E-06    0.155000E+00   -0.106805-140    0.130561-142
    0.198089E-06    0.155000E+00   -0.107902-140    0.132256-142
    0.198728E-06    0.155000E+00   -0.109010-140    0.133972-142
    0.199370E-06    0.155000E+00   -0.110128-140    0.135711-142
    0.200014E-06    0.155000E+00   -0.111257-140    0.137472-142
    0.200660E-06    0.155000E+00   -0.112396-140    0.139256-142
    0.201308E-06    0.155000E+00   -0.113546-140    0.141064-142
    0.201958E-06    0.155000E+00   -0.114707-140    0.142895-142
    0.202610E-06    0.155000E+00   -0.115878-140    0.144749-142
    0.203265E-06    0.155000E+00   -0.117061-140    0.146628-142
    0.203921E-06    0.155000E+00   -0.118255-140    0.148531-142
    0.204580E-06    0.155000E+00   -0.119460-140    0.150458-142
    0.205240E-06    0.155000E+00   -0.120676-140    0.152411-142
    0.205903E-06    0.155000E+00   -0.121904-140    0.154389-142
    0.206568E-06    0.155000E+00   -0.123143-140    0.156393-142
    0.207235E-06    0.155000E+00   -0.124395-140    0.158423-142
    0.207904E-06    0.155000E+00   -0.125658-140    0.160479-142
    0.208576E-06    0.155000E+00   -0.126932-140    0.162561-142
    0.209249E-06    0.155000E+00   -0.128219-140    0.164671-142
    0.209925E-06    0.155000E+00   -0.129518-140    0.166808-142
    0.210603E-06    0.155000E+00   -0.130830-140    0.168973-142
    0.211283E-06    0.155000E+00   -0.132154-140    0.171166-142
    0.211966E-06    0.155000E+00   -0.133490-140    0.173388-142
    0.212650E-06    0.155000E+00   -0.134839-140    0.175638-142
    0.213337E-06    0.155000E+00   -0.136200-140    0.177918-142
    0.214026E-06    0.155000E+00   -0.137575-140    0.180227-142
    0.214717E-06    0.155000E+00   -0.138963-140    0.182566-142
    0.215410E-06    0.155000E+00   -0.140364-140    0.184935-142
    0.216106E-06    0.155000E+00   -0.141778-140    0.187335-142
    0.216804E-06    0.155000E+00   -0.143205-140    0.189767-142
    0.217504E-06    0.155000E+00   -0.144646-140    0.192229-142
    0.218207E-06    0.155000E+00   -0.146101-140    0.194724-142
    0.218911E-06    0.155000E+00   -0.147570-140    0.197251-142
    0.219618E-06    0.155000E+00   -0.149052-140    0.199811-142
    0.220327E-06    0.155000E+00   -0.150549-140    0.202405-142
    0.221039E-06    0.155000E+00   -0.152060-140    0.205031-142
    0.221753E-06    0.155000E+00   -0.153585-140    0.207692-142
    0.222469E-06    0.155000E+00   -0.155125-140    0.210388-142
    0.223187E-06    0.155000E+00   -0.156679-140    0.213118-142
    0.223908E-06    0.155000E+00   -0.158249-140    0.215884-142
    0.224631E-06    0.155000E+00   -0.159833-140    0.218686-142
    0.225357E-06    0.155000E+00   -0.161432-140    0.221524-142
    0.226085E-06    0.155000E+00   -0.163047-140    0.224399-142
    0.226815E-06    0.155000E+00   -0.164677-140    0.227311-142
    0.227547E-06    0.155000E+00   -0.166322-140    0.230262-142
    0.228282E-06    0.155000E+00   -0.167983-140    0.233250-142
    0.229019E-06    0.155000E+00   -0.169660-140    0.236277-142
    0.229759E-06    0.155000E+00   -0.171353-140    0.239344-142
    0.230501E-06    0.155000E+00   -0.173063-140    0.242450-142
    0.231245E-06    0.155000E+00   -0.174788-140    0.245596-142
    0.231992E-06    0.155000E+00   -0.176530-140    0.248784-142
    0.232741E-06    0.155000E+00   -0.178289-140    0.252012-142
    0.233493E-06    0.155000E+00   -0.180065-140    0.255283-142
    0.234247E-06    0.155000E+00   -0.181857-140    0.258596-142
    0.235003E-06    0.155000E+00   -0.183667-140    0.261952-142
    0.235762E-06    0.155000E+00   -0.185494-140    0.265352-142
    0.236524E-06    0.155000E+00   -0.187338-140    0.268796-142
    0.237288E-06    0.155000E+00   -0.189200-140    0.272284-142
    0.238054E-06    0.155000E+00   -0.191080-140    0.275818-142
    0.238823E-06    0.155000E+00   -0.192978-140    0.279397-142
    0.239594E-06    0.155000E+00   -0.194894-140    0.283023-142
    0.240368E-06    0.155000E+00   -0.196829-140    0.286697-142
    0.241144E-06    0.155000E+00   -0.198782-140    0.290417-142
    0.241923E-06    0.155000E+00   -0.200754-140    0.294186-142
    0.242704E-06    0.155000E+00   -0.202744-140    0.298004-142
    0.243488E-06    0.155000E+00   -0.204754-140    0.301872-142
    0.244274E-06    0.155000E+00   -0.206783-140    0.305790-142
    0.245063E-06    0.155000E+00   -0.208832-140    0.309758-142
    0.245854E-06    0.155000E+00   -0.210900-140    0.313778-142
    0.246648E-06    0.155000E+00   -0.212988-140    0.317850-142
    0.247445E-06    0.155000E+00   -0.215096-140    0.321975-142
    0.248244E-06    0.155000E+00   -0.217224-140    0.326154-142
    0.249046E-06    0.155000E+00   -0.219373-140    0.330387-142
    0.249850E-06    0.155000E+00   -0.221542-140    0.334675-142
    0.250657E-06    0.155000E+00   -0.223732-140    0.339018-142
    0.251466E-06    0.155000E+00   -0.225944-140    0.343418-142
    0.252279E-06    0.155000E+00   -0.228176-140    0.347875-142
    0.253093E-06    0.155000E+00   -0.230430-140    0.352389-142
    0.253911E-06    0.155000E+00   -0.232706-140    0.356963-142
    0.254731E-06    0.155000E+00   -0.235003-140    0.361595-142
    0.255553E-06    0.155000E+00   -0.237323-140    0.366288-142
    0.256379E-06    0.155000E+00   -0.239665-140    0.371042-142
    0.257207E-06    0.155000E+00   -0.242029-140    0.375857-142
    0.258037E-06    0.155000E+00   -0.244416-140    0.380735-142
    0.258871E-06    0.155000E+00   -0.246827-140    0.385676-142
    0.259707E-06    0.155000E+00   -0.249260-140    0.390681-142
    0.260545E-06    0.155000E+00   -0.251717-140    0.395751-142
    0.261387E-06    0.155000E+00   -0.254197-140    0.400887-142
    0.262231E-06    0.155000E+00   -0.256702-140    0.406090-142
    0.263078E-06    0.155000E+00   -0.259230-140    0.411360-142
    0.263927E-06    0.155000E+00   -0.261783-140    0.416699-142
    0.264780E-06    0.155000E+00   -0.264360-140    0.422107-142
    0.265635E-06    0.155000E+00   -0.266963-140    0.427585-142
    0.266493E-06    0.155000E+00   -0.269590-140    0.433134-142
    0.267353E-06    0.155000E+00   -0.272243-140    0.438755-142
    0.268217E-06    0.155000E+00   -0.274921-140    0.444449-142
    0.269083E-06    0.155000E+00   -0.277625-140    0.450217-142
    0.269952E-06    0.155000E+00   -0.280355-140    0.456060-142
    0.270824E-06    0.155000E+00   -0.283112-140    0.461978-142
    0.271698E-06    0.155000E+00   -0.285895-140    0.467974-142
    0.272576E-06    0.155000E+00   -0.288705-140    0.474047-142
    0.273456E-06    0.155000E+00   -0.291542-140    0.480199-142
    0.274339E-06    0.155000E+00   -0.294406-140    0.486431-142
    0.275225E-06    0.155000E+00   -0.297298-140    0.492744-142
    0.276114E-06    0.155000E+00   -0.300218-140    0.499138-142
    0.277006E-06    0.155000E+00   -0.303166-140    0.505616-142
    0.277900E-06    0.155000E+00   -0.306142-140    0.512178-142
    0.278798E-06    0.155000E+00   -0.309148-140    0.518824-142
    0.279698E-06    0.155000E+00   -0.312182-140    0.525558-142
    0.280601E-06    0.155000E+00   -0.315245-140    0.532378-142
    0.281507E-06    0.155000E+00   -0.318339-140    0.539287-142
    0.282417E-06    0.155000E+00   -0.321462-140    0.546286-142
    0.283329E-06    0.155000E+00   -0.324615-140    0.553375-142
    0.284244E-06    0.155000E+00   -0.327798-140    0.560557-142
    0.285162E-06    0.155000E+00   -0.331013-140    0.567831-142
    0.286083E-06    0.155000E+00   -0.334258-140    0.575200-142
    0.287006E-06    0.155000E+00   -0.337535-140    0.582665-142
    0.287933E-06    0.155000E+00   -0.340844-140    0.590227-142
    0.288863E-06    0.155000E+00   -0.344184-140    0.597886-142
    0.289796E-06    0.155000E+00   -0.347557-140    0.605646-142
    0.290732E-06    0.155000E+00   -0.350962-140    0.613505-142
    0.291671E-06    0.155000E+00   -0.354400-140    0.621467-142
    0.292613E-06    0.155000E+00   -0.357872-140    0.629532-142
    0.293558E-06    0.155000E+00   -0.361377-140    0.637702-142
    0.294506E-06    0.155000E+00   -0.364916-140    0.645978-142
    0.295457E-06    0.155000E+00   -0.368489-140    0.654361-142
    0.296411E-06    0.155000E+00   -0.372096-140    0.662853-142
    0.297368E-06    0.155000E+00   -0.375739-140    0.671455-142
    0.298329E-06    0.155000E+00   -0.379417-140    0.680169-142
    0.299292E-06    0.155000E+00   -0.383130-140    0.688996-142
    0.300259E-06    0.155000E+00   -0.386879-140    0.697937-142
    0.301228E-06    0.155000E+00   -0.390665-140    0.706994-142
    0.302201E-06    0.155000E+00   -0.394487-140    0.716169-142
    0.303177E-06    0.155000E+00   -0.398346-140    0.725463-142
    0.304156E-06    0.155000E+00   -0.402243-140    0.734878-142
    0.305138E-06    0.155000E+00   -0.406177-140    0.744415-142
    0.306124E-06    0.155000E+00   -0.410149-140    0.754075-142
    0.307112E-06    0.155000E+00   -0.414160-140    0.763861-142
    0.308104E-06    0.155000E+00   -0.418210-140    0.773774-142
    0.309099E-06    0.155000E+00   -0.422298-140    0.783816-142
    0.310098E-06    0.155000E+00   -0.426427-140    0.793988-142
    0.311099E-06    0.155000E+00   -0.430595-140    0.804291-142
    0.312104E-06    0.155000E+00   -0.434804-140    0.814729-142
    0.313112E-06    0.155000E+00   -0.439053-140    0.825302-142
    0.314123E-06    0.155000E+00   -0.443343-140    0.836012-142
    0.315137E-06    0.155000E+00   -0.447676-140    0.846861-142
    0.316155E-06    0.155000E+00   -0.452050-140    0.857851-142
    0.317176E-06    0.155000E+00   -0.456466-140    0.868984-142
    0.318200E-06    0.155000E+00   -0.460925-140    0.880261-142
    0.319228E-06    0.155000E+00   -0.465427-140    0.891684-142
    0.320259E-06    0.155000E+00   -0.469973-140    0.903256-142
    0.321293E-06    0.155000E+00   -0.474563-140    0.914977-142
    0.322331E-06    0.155000E+00   -0.479198-140    0.926851-142
    0.323372E-06    0.155000E+00   -0.483877-140    0.938879-142
    0.324416E-06    0.155000E+00   -0.488602-140    0.951063-142
    0.325464E-06    0.155000E+00   -0.493372-140    0.963405-142
    0.326515E-06    0.155000E+00   -0.498189-140    0.975908-142
    0.327569E-06    0.155000E+00   -0.503052-140    0.988572-142
    0.328627E-06    0.155000E+00   -0.507962-140    0.100140-141
    0.329688E-06    0.155000E+00   -0.512920-140    0.101440-141
    0.330753E-06    0.155000E+00   -0.517926-140    0.102756-141
    0.331821E-06    0.155000E+00   -0.522981-140    0.104089-141
    0.332893E-06    0.155000E+00   -0.528084-140    0.105440-141
    0.333968E-06    0.155000E+00   -0.533237-140    0.106809-141
    0.335046E-06    0.155000E+00   -0.538440-140    0.108195-141
    0.336128E-06    0.155000E+00   -0.543694-140    0.109599-141
    0.337214E-06    0.155000E+00   -0.548998-140    0.111021-141
    0.338303E-06    0.155000E+00   -0.554354-140    0.112462-141
    0.339396E-06    0.155000E+00   -0.559761-140    0.113921-141
    0.340492E-06    0.155000E+00   -0.565221-140    0.115399-141
    0.341591E-06    0.155000E+00   -0.570734-140    0.116897-141
    0.342694E-06    0.155000E+00   -0.576300-140    0.118414-141
    0.343801E-06    0.155000E+00   -0.581921-140    0.119951-141
    0.344911E-06    0.155000E+00   -0.587596-140    0.121507-141
    0.346025E-06    0.155000E+00   -0.593326-140    0.123084-141
    0.347143E-06    0.155000E+00   -0.599111-140    0.124681-141
    0.348264E-06    0.155000E+00   -0.604952-140    0.126299-141
    0.349389E-06    0.155000E+00   -0.610851-140    0.127938-141
    0.350517E-06    0.155000E+00   -0.616806-140    0.129598-141
    0.351649E-06    0.155000E+00   -0.622819-140    0.131280-141
    0.352785E-06    0.155000E+00   -0.628891-140    0.132984-141
    0.353924E-06    0.155000E+00   -0.635021-140    0.134710-141
    0.355067E-06    0.155000E+00   -0.641211-140    0.136458-141
    0.356213E-06    0.155000E+00   -0.647460-140    0.138228-141
    0.357364E-06    0.155000E+00   -0.653771-140    0.140022-141
    0.358518E-06    0.155000E+00   -0.660142-140    0.141839-141
    0.359676E-06    0.155000E+00   -0.666576-140    0.143680-141
    0.360837E-06    0.155000E+00   -0.673072-140    0.145544-141
    0.362003E-06    0.155000E+00   -0.679630-140    0.147433-141
    0.363172E-06    0.155000E+00   -0.686253-140    0.149346-141
    0.364345E-06    0.155000E+00   -0.692939-140    0.151284-141
    0.365521E-06    0.155000E+00   -0.699691-140    0.153248-141
    0.366702E-06    0.155000E+00   -0.706508-140    0.155236-141
    0.367886E-06    0.155000E+00   -0.713391-140    0.157251-141
    0.369074E-06    0.155000E+00   -0.720341-140    0.159291-141
    0.370266E-06    0.155000E+00   -0.727358-140    0.161358-141
    0.371462E-06    0.155000E+00   -0.734444-140    0.163452-141
    0.372661E-06    0.155000E+00   -0.741598-140    0.165573-141
    0.373865E-06    0.155000E+00   -0.748822-140    0.167722-141
    0.375072E-06    0.155000E+00   -0.756115-140    0.169898-141
    0.376283E-06    0.155000E+00   -0.763480-140    0.172103-141
    0.377499E-06    0.155000E+00   -0.770916-140    0.174336-141
    0.378718E-06    0.155000E+00   -0.778424-140    0.176599-141
    0.379941E-06    0.155000E+00   -0.786005-140    0.178890-141
    0.381168E-06    0.155000E+00   -0.793659-140    0.181212-141
    0.382399E-06    0.155000E+00   -0.801388-140    0.183563-141
    0.383634E-06    0.155000E+00   -0.809192-140    0.185945-141
    0.384873E-06    0.155000E+00   -0.817071-140    0.188358-141
    0.386116E-06    0.155000E+00   -0.825027-140    0.190802-141
    0.387363E-06    0.155000E+00   -0.833061-140    0.193278-141
    0.388614E-06    0.155000E+00   -0.841172-140    0.195786-141
    0.389869E-06    0.155000E+00   -0.849362-140    0.198327-141
    0.391128E-06    0.155000E+00   -0.857631-140    0.200901-141
    0.392391E-06    0.155000E+00   -0.865981-140    0.203508-141
    0.393658E-06    0.155000E+00   -0.874411-140    0.206148-141
    0.394929E-06    0.155000E+00   -0.882924-140    0.208823-141
    0.396205E-06    0.155000E+00   -0.891519-140    0.211533-141
    0.397484E-06    0.155000E+00   -0.900197-140    0.214278-141
    0.398768E-06    0.155000E+00   -0.908960-140    0.217059-141
    0.400056E-06    0.155000E+00   -0.917808-140    0.219875-141
    0.401348E-06    0.155000E+00   -0.926742-140    0.222729-141
    0.402644E-06    0.155000E+00   -0.935762-140    0.225619-141
    0.403944E-06    0.155000E+00   -0.944870-140    0.228546-141
    0.405249E-06    0.155000E+00   -0.954067-140    0.231512-141
    0.406557E-06    0.155000E+00   -0.963352-140    0.234516-141
    0.407870E-06    0.155000E+00   -0.972728-140    0.237560-141
