 a		phi		phidot		fde
    0.804973E-05    0.155000E+00   -0.740894-136    0.351782-136
    0.807572E-05    0.155000E+00   -0.748070-136    0.356319-136
    0.810180E-05    0.155000E+00   -0.755315-136    0.360915-136
    0.812797E-05    0.155000E+00   -0.762631-136    0.365570-136
    0.815422E-05    0.155000E+00   -0.770017-136    0.370284-136
    0.818055E-05    0.155000E+00   -0.777474-136    0.375060-136
    0.820697E-05    0.155000E+00   -0.785004-136    0.379897-136
    0.823347E-05    0.155000E+00   -0.792606-136    0.384796-136
    0.826006E-05    0.155000E+00   -0.800282-136    0.389759-136
    0.828674E-05    0.155000E+00   -0.808033-136    0.394785-136
    0.831350E-05    0.155000E+00   -0.815858-136    0.399876-136
    0.834035E-05    0.155000E+00   -0.823759-136    0.405033-136
    0.836728E-05    0.155000E+00   -0.831736-136    0.410255-136
    0.839431E-05    0.155000E+00   -0.839791-136    0.415546-136
    0.842142E-05    0.155000E+00   -0.847923-136    0.420904-136
    0.844861E-05    0.155000E+00   -0.856134-136    0.426331-136
    0.847590E-05    0.155000E+00   -0.864425-136    0.431828-136
    0.850327E-05    0.155000E+00   -0.872795-136    0.437396-136
    0.853073E-05    0.155000E+00   -0.881247-136    0.443036-136
    0.855828E-05    0.155000E+00   -0.889780-136    0.448748-136
    0.858592E-05    0.155000E+00   -0.898396-136    0.454534-136
    0.861365E-05    0.155000E+00   -0.907096-136    0.460394-136
    0.864146E-05    0.155000E+00   -0.915879-136    0.466329-136
    0.866937E-05    0.155000E+00   -0.924747-136    0.472341-136
    0.869737E-05    0.155000E+00   -0.933701-136    0.478431-136
    0.872546E-05    0.155000E+00   -0.942742-136    0.484598-136
    0.875364E-05    0.155000E+00   -0.951870-136    0.490845-136
    0.878190E-05    0.155000E+00   -0.961086-136    0.497173-136
    0.881027E-05    0.155000E+00   -0.970392-136    0.503582-136
    0.883872E-05    0.155000E+00   -0.979787-136    0.510073-136
    0.886726E-05    0.155000E+00   -0.989274-136    0.516648-136
    0.889590E-05    0.155000E+00   -0.998852-136    0.523307-136
    0.892463E-05    0.155000E+00   -0.100852-135    0.530053-136
    0.895345E-05    0.155000E+00   -0.101829-135    0.536885-136
    0.898236E-05    0.155000E+00   -0.102815-135    0.543805-136
    0.901137E-05    0.155000E+00   -0.103810-135    0.550814-136
    0.904047E-05    0.155000E+00   -0.104815-135    0.557913-136
    0.906967E-05    0.155000E+00   -0.105830-135    0.565103-136
    0.909896E-05    0.155000E+00   -0.106854-135    0.572386-136
    0.912835E-05    0.155000E+00   -0.107889-135    0.579763-136
    0.915783E-05    0.155000E+00   -0.108933-135    0.587234-136
    0.918740E-05    0.155000E+00   -0.109988-135    0.594802-136
    0.921707E-05    0.155000E+00   -0.111052-135    0.602467-136
    0.924684E-05    0.155000E+00   -0.112127-135    0.610231-136
    0.927670E-05    0.155000E+00   -0.113213-135    0.618094-136
    0.930666E-05    0.155000E+00   -0.114309-135    0.626059-136
    0.933671E-05    0.155000E+00   -0.115415-135    0.634126-136
    0.936687E-05    0.155000E+00   -0.116533-135    0.642297-136
    0.939712E-05    0.155000E+00   -0.117661-135    0.650572-136
    0.942746E-05    0.155000E+00   -0.118799-135    0.658955-136
    0.945791E-05    0.155000E+00   -0.119949-135    0.667445-136
    0.948845E-05    0.155000E+00   -0.121110-135    0.676044-136
    0.951910E-05    0.155000E+00   -0.122283-135    0.684754-136
    0.954984E-05    0.155000E+00   -0.123466-135    0.693576-136
    0.958068E-05    0.155000E+00   -0.124661-135    0.702512-136
    0.961162E-05    0.155000E+00   -0.125868-135    0.711562-136
    0.964266E-05    0.155000E+00   -0.127086-135    0.720729-136
    0.967380E-05    0.155000E+00   -0.128316-135    0.730013-136
    0.970504E-05    0.155000E+00   -0.129558-135    0.739417-136
    0.973638E-05    0.155000E+00   -0.130812-135    0.748942-136
    0.976783E-05    0.155000E+00   -0.132078-135    0.758589-136
    0.979937E-05    0.155000E+00   -0.133356-135    0.768360-136
    0.983102E-05    0.155000E+00   -0.134647-135    0.778257-136
    0.986277E-05    0.155000E+00   -0.135950-135    0.788281-136
    0.989462E-05    0.155000E+00   -0.137266-135    0.798435-136
    0.992657E-05    0.155000E+00   -0.138594-135    0.808718-136
    0.995863E-05    0.155000E+00   -0.139935-135    0.819134-136
    0.999079E-05    0.155000E+00   -0.141290-135    0.829684-136
    0.100231E-04    0.155000E+00   -0.142657-135    0.840369-136
    0.100554E-04    0.155000E+00   -0.144037-135    0.851191-136
    0.100879E-04    0.155000E+00   -0.145431-135    0.862153-136
    0.101205E-04    0.155000E+00   -0.146839-135    0.873256-136
    0.101532E-04    0.155000E+00   -0.148259-135    0.884501-136
    0.101860E-04    0.155000E+00   -0.149694-135    0.895891-136
    0.102188E-04    0.155000E+00   -0.151143-135    0.907427-136
    0.102518E-04    0.155000E+00   -0.152605-135    0.919111-136
    0.102850E-04    0.155000E+00   -0.154082-135    0.930946-136
    0.103182E-04    0.155000E+00   -0.155573-135    0.942933-136
    0.103515E-04    0.155000E+00   -0.157078-135    0.955073-136
    0.103849E-04    0.155000E+00   -0.158598-135    0.967370-136
    0.104185E-04    0.155000E+00   -0.160132-135    0.979825-136
    0.104521E-04    0.155000E+00   -0.161682-135    0.992440-136
    0.104859E-04    0.155000E+00   -0.163246-135    0.100522-135
    0.105197E-04    0.155000E+00   -0.164825-135    0.101816-135
    0.105537E-04    0.155000E+00   -0.166420-135    0.103126-135
    0.105878E-04    0.155000E+00   -0.168030-135    0.104454-135
    0.106220E-04    0.155000E+00   -0.169656-135    0.105799-135
    0.106563E-04    0.155000E+00   -0.171297-135    0.107161-135
    0.106907E-04    0.155000E+00   -0.172954-135    0.108540-135
    0.107252E-04    0.155000E+00   -0.174628-135    0.109937-135
    0.107599E-04    0.155000E+00   -0.176317-135    0.111352-135
    0.107946E-04    0.155000E+00   -0.178023-135    0.112785-135
    0.108295E-04    0.155000E+00   -0.179745-135    0.114237-135
    0.108644E-04    0.155000E+00   -0.181484-135    0.115707-135
    0.108995E-04    0.155000E+00   -0.183239-135    0.117196-135
    0.109347E-04    0.155000E+00   -0.185012-135    0.118705-135
    0.109700E-04    0.155000E+00   -0.186802-135    0.120232-135
    0.110055E-04    0.155000E+00   -0.188609-135    0.121780-135
    0.110410E-04    0.155000E+00   -0.190433-135    0.123347-135
    0.110767E-04    0.155000E+00   -0.192275-135    0.124934-135
    0.111124E-04    0.155000E+00   -0.194135-135    0.126542-135
    0.111483E-04    0.155000E+00   -0.196013-135    0.128170-135
    0.111843E-04    0.155000E+00   -0.197909-135    0.129819-135
    0.112204E-04    0.155000E+00   -0.199823-135    0.131490-135
    0.112567E-04    0.155000E+00   -0.201756-135    0.133181-135
    0.112930E-04    0.155000E+00   -0.203707-135    0.134895-135
    0.113295E-04    0.155000E+00   -0.205677-135    0.136630-135
    0.113661E-04    0.155000E+00   -0.207666-135    0.138388-135
    0.114028E-04    0.155000E+00   -0.209675-135    0.140169-135
    0.114396E-04    0.155000E+00   -0.211703-135    0.141972-135
    0.114766E-04    0.155000E+00   -0.213750-135    0.143798-135
    0.115136E-04    0.155000E+00   -0.215817-135    0.145648-135
    0.115508E-04    0.155000E+00   -0.217905-135    0.147522-135
    0.115881E-04    0.155000E+00   -0.220012-135    0.149419-135
    0.116255E-04    0.155000E+00   -0.222140-135    0.151341-135
    0.116631E-04    0.155000E+00   -0.224288-135    0.153288-135
    0.117007E-04    0.155000E+00   -0.226457-135    0.155260-135
    0.117385E-04    0.155000E+00   -0.228647-135    0.157257-135
    0.117764E-04    0.155000E+00   -0.230858-135    0.159279-135
    0.118145E-04    0.155000E+00   -0.233090-135    0.161328-135
    0.118526E-04    0.155000E+00   -0.235344-135    0.163402-135
    0.118909E-04    0.155000E+00   -0.237620-135    0.165504-135
    0.119293E-04    0.155000E+00   -0.239917-135    0.167632-135
    0.119678E-04    0.155000E+00   -0.242237-135    0.169788-135
    0.120065E-04    0.155000E+00   -0.244579-135    0.171971-135
    0.120453E-04    0.155000E+00   -0.246944-135    0.174183-135
    0.120842E-04    0.155000E+00   -0.249332-135    0.176422-135
    0.121232E-04    0.155000E+00   -0.251742-135    0.178691-135
    0.121623E-04    0.155000E+00   -0.254176-135    0.180988-135
    0.122016E-04    0.155000E+00   -0.256634-135    0.183315-135
    0.122410E-04    0.155000E+00   -0.259115-135    0.185672-135
    0.122806E-04    0.155000E+00   -0.261620-135    0.188059-135
    0.123202E-04    0.155000E+00   -0.264149-135    0.190477-135
    0.123600E-04    0.155000E+00   -0.266703-135    0.192926-135
    0.123999E-04    0.155000E+00   -0.269281-135    0.195406-135
    0.124400E-04    0.155000E+00   -0.271885-135    0.197918-135
    0.124801E-04    0.155000E+00   -0.274513-135    0.200462-135
    0.125204E-04    0.155000E+00   -0.277167-135    0.203039-135
    0.125609E-04    0.155000E+00   -0.279846-135    0.205649-135
    0.126014E-04    0.155000E+00   -0.282551-135    0.208292-135
    0.126421E-04    0.155000E+00   -0.285283-135    0.210969-135
    0.126830E-04    0.155000E+00   -0.288040-135    0.213681-135
    0.127239E-04    0.155000E+00   -0.290824-135    0.216427-135
    0.127650E-04    0.155000E+00   -0.293636-135    0.219209-135
    0.128062E-04    0.155000E+00   -0.296474-135    0.222026-135
    0.128476E-04    0.155000E+00   -0.299339-135    0.224879-135
    0.128891E-04    0.155000E+00   -0.302233-135    0.227769-135
    0.129307E-04    0.155000E+00   -0.305154-135    0.230696-135
    0.129725E-04    0.155000E+00   -0.308103-135    0.233660-135
    0.130144E-04    0.155000E+00   -0.311081-135    0.236663-135
    0.130564E-04    0.155000E+00   -0.314088-135    0.239704-135
    0.130986E-04    0.155000E+00   -0.317123-135    0.242784-135
    0.131409E-04    0.155000E+00   -0.320188-135    0.245903-135
    0.131833E-04    0.155000E+00   -0.323282-135    0.249062-135
    0.132259E-04    0.155000E+00   -0.326407-135    0.252262-135
    0.132686E-04    0.155000E+00   -0.329561-135    0.255503-135
    0.133114E-04    0.155000E+00   -0.332746-135    0.258785-135
    0.133544E-04    0.155000E+00   -0.335961-135    0.262110-135
    0.133976E-04    0.155000E+00   -0.339208-135    0.265477-135
    0.134408E-04    0.155000E+00   -0.342486-135    0.268887-135
    0.134842E-04    0.155000E+00   -0.345795-135    0.272341-135
    0.135278E-04    0.155000E+00   -0.349137-135    0.275839-135
    0.135715E-04    0.155000E+00   -0.352510-135    0.279382-135
    0.136153E-04    0.155000E+00   -0.355916-135    0.282970-135
    0.136593E-04    0.155000E+00   -0.359355-135    0.286604-135
    0.137034E-04    0.155000E+00   -0.362828-135    0.290285-135
    0.137476E-04    0.155000E+00   -0.366333-135    0.294013-135
    0.137920E-04    0.155000E+00   -0.369873-135    0.297789-135
    0.138366E-04    0.155000E+00   -0.373446-135    0.301613-135
    0.138812E-04    0.155000E+00   -0.377054-135    0.305486-135
    0.139261E-04    0.155000E+00   -0.380697-135    0.309409-135
    0.139710E-04    0.155000E+00   -0.384375-135    0.313382-135
    0.140162E-04    0.155000E+00   -0.388088-135    0.317405-135
    0.140614E-04    0.155000E+00   -0.391838-135    0.321481-135
    0.141068E-04    0.155000E+00   -0.395623-135    0.325608-135
    0.141524E-04    0.155000E+00   -0.399445-135    0.329789-135
    0.141981E-04    0.155000E+00   -0.403304-135    0.334022-135
    0.142440E-04    0.155000E+00   -0.407200-135    0.338310-135
    0.142900E-04    0.155000E+00   -0.411133-135    0.342653-135
    0.143361E-04    0.155000E+00   -0.415105-135    0.347052-135
    0.143824E-04    0.155000E+00   -0.419114-135    0.351507-135
    0.144289E-04    0.155000E+00   -0.423163-135    0.356019-135
    0.144755E-04    0.155000E+00   -0.427250-135    0.360589-135
    0.145222E-04    0.155000E+00   -0.431377-135    0.365217-135
    0.145691E-04    0.155000E+00   -0.435543-135    0.369904-135
    0.146161E-04    0.155000E+00   -0.439750-135    0.374651-135
    0.146634E-04    0.155000E+00   -0.443997-135    0.379460-135
    0.147107E-04    0.155000E+00   -0.448285-135    0.384329-135
    0.147582E-04    0.155000E+00   -0.452615-135    0.389261-135
    0.148059E-04    0.155000E+00   -0.456986-135    0.394256-135
    0.148537E-04    0.155000E+00   -0.461400-135    0.399315-135
    0.149017E-04    0.155000E+00   -0.465855-135    0.404439-135
    0.149498E-04    0.155000E+00   -0.470354-135    0.409629-135
    0.149981E-04    0.155000E+00   -0.474897-135    0.414884-135
    0.150465E-04    0.155000E+00   -0.479483-135    0.420207-135
    0.150951E-04    0.155000E+00   -0.484113-135    0.425598-135
    0.151438E-04    0.155000E+00   -0.488787-135    0.431058-135
    0.151927E-04    0.155000E+00   -0.493507-135    0.436588-135
    0.152418E-04    0.155000E+00   -0.498273-135    0.442189-135
    0.152910E-04    0.155000E+00   -0.503084-135    0.447861-135
    0.153404E-04    0.155000E+00   -0.507941-135    0.453606-135
    0.153900E-04    0.155000E+00   -0.512846-135    0.459424-135
    0.154397E-04    0.155000E+00   -0.517797-135    0.465317-135
    0.154895E-04    0.155000E+00   -0.522797-135    0.471285-135
    0.155395E-04    0.155000E+00   -0.527844-135    0.477329-135
    0.155897E-04    0.155000E+00   -0.532940-135    0.483451-135
    0.156401E-04    0.155000E+00   -0.538086-135    0.489651-135
    0.156906E-04    0.155000E+00   -0.543281-135    0.495930-135
    0.157413E-04    0.155000E+00   -0.548525-135    0.502290-135
    0.157921E-04    0.155000E+00   -0.553821-135    0.508730-135
    0.158431E-04    0.155000E+00   -0.559167-135    0.515254-135
    0.158943E-04    0.155000E+00   -0.564565-135    0.521860-135
    0.159456E-04    0.155000E+00   -0.570015-135    0.528551-135
    0.159971E-04    0.155000E+00   -0.575517-135    0.535328-135
    0.160487E-04    0.155000E+00   -0.581072-135    0.542191-135
    0.161006E-04    0.155000E+00   -0.586681-135    0.549142-135
    0.161526E-04    0.155000E+00   -0.592344-135    0.556181-135
    0.162047E-04    0.155000E+00   -0.598062-135    0.563311-135
    0.162571E-04    0.155000E+00   -0.603834-135    0.570532-135
    0.163096E-04    0.155000E+00   -0.609662-135    0.577845-135
    0.163622E-04    0.155000E+00   -0.615546-135    0.585252-135
    0.164151E-04    0.155000E+00   -0.621487-135    0.592753-135
    0.164681E-04    0.155000E+00   -0.627485-135    0.600350-135
    0.165213E-04    0.155000E+00   -0.633541-135    0.608044-135
    0.165746E-04    0.155000E+00   -0.639655-135    0.615836-135
    0.166282E-04    0.155000E+00   -0.645828-135    0.623728-135
    0.166819E-04    0.155000E+00   -0.652061-135    0.631721-135
    0.167357E-04    0.155000E+00   -0.658353-135    0.639816-135
    0.167898E-04    0.155000E+00   -0.664706-135    0.648014-135
    0.168440E-04    0.155000E+00   -0.671120-135    0.656317-135
    0.168984E-04    0.155000E+00   -0.677596-135    0.664726-135
    0.169530E-04    0.155000E+00   -0.684134-135    0.673242-135
    0.170077E-04    0.155000E+00   -0.690735-135    0.681868-135
    0.170626E-04    0.155000E+00   -0.697400-135    0.690603-135
    0.171178E-04    0.155000E+00   -0.704129-135    0.699450-135
    0.171730E-04    0.155000E+00   -0.710923-135    0.708410-135
    0.172285E-04    0.155000E+00   -0.717782-135    0.717484-135
    0.172841E-04    0.155000E+00   -0.724707-135    0.726674-135
    0.173399E-04    0.155000E+00   -0.731699-135    0.735981-135
    0.173959E-04    0.155000E+00   -0.738758-135    0.745408-135
    0.174521E-04    0.155000E+00   -0.745885-135    0.754954-135
    0.175085E-04    0.155000E+00   -0.753080-135    0.764623-135
    0.175650E-04    0.155000E+00   -0.760345-135    0.774415-135
    0.176218E-04    0.155000E+00   -0.767680-135    0.784331-135
    0.176787E-04    0.155000E+00   -0.775085-135    0.794375-135
    0.177358E-04    0.155000E+00   -0.782561-135    0.804546-135
    0.177930E-04    0.155000E+00   -0.790110-135    0.814848-135
    0.178505E-04    0.155000E+00   -0.797731-135    0.825281-135
    0.179081E-04    0.155000E+00   -0.805425-135    0.835847-135
    0.179660E-04    0.155000E+00   -0.813194-135    0.846548-135
    0.180240E-04    0.155000E+00   -0.821037-135    0.857385-135
    0.180822E-04    0.155000E+00   -0.828956-135    0.868361-135
    0.181406E-04    0.155000E+00   -0.836951-135    0.879476-135
    0.181992E-04    0.155000E+00   -0.845022-135    0.890734-135
    0.182580E-04    0.155000E+00   -0.853172-135    0.902135-135
    0.183169E-04    0.155000E+00   -0.861400-135    0.913681-135
    0.183761E-04    0.155000E+00   -0.869706-135    0.925375-135
    0.184354E-04    0.155000E+00   -0.878093-135    0.937218-135
    0.184950E-04    0.155000E+00   -0.886561-135    0.949212-135
    0.185547E-04    0.155000E+00   -0.895110-135    0.961359-135
    0.186146E-04    0.155000E+00   -0.903741-135    0.973661-135
    0.186747E-04    0.155000E+00   -0.912455-135    0.986120-135
    0.187350E-04    0.155000E+00   -0.921253-135    0.998737-135
    0.187955E-04    0.155000E+00   -0.930136-135    0.101152-134
    0.188562E-04    0.155000E+00   -0.939104-135    0.102446-134
    0.189171E-04    0.155000E+00   -0.948158-135    0.103756-134
    0.189782E-04    0.155000E+00   -0.957300-135    0.105084-134
    0.190395E-04    0.155000E+00   -0.966529-135    0.106428-134
    0.191010E-04    0.155000E+00   -0.975847-135    0.107789-134
    0.191627E-04    0.155000E+00   -0.985255-135    0.109168-134
    0.192246E-04    0.155000E+00   -0.994753-135    0.110564-134
    0.192867E-04    0.155000E+00   -0.100434-134    0.111979-134
    0.193489E-04    0.155000E+00   -0.101402-134    0.113411-134
    0.194114E-04    0.155000E+00   -0.102380-134    0.114861-134
    0.194741E-04    0.155000E+00   -0.103367-134    0.116330-134
    0.195370E-04    0.155000E+00   -0.104363-134    0.117818-134
    0.196001E-04    0.155000E+00   -0.105369-134    0.119324-134
    0.196634E-04    0.155000E+00   -0.106385-134    0.120850-134
    0.197269E-04    0.155000E+00   -0.107410-134    0.122395-134
    0.197906E-04    0.155000E+00   -0.108445-134    0.123960-134
    0.198545E-04    0.155000E+00   -0.109490-134    0.125545-134
    0.199186E-04    0.155000E+00   -0.110546-134    0.127150-134
    0.199830E-04    0.155000E+00   -0.111611-134    0.128775-134
    0.200475E-04    0.155000E+00   -0.112686-134    0.130421-134
    0.201123E-04    0.155000E+00   -0.113772-134    0.132088-134
    0.201772E-04    0.155000E+00   -0.114869-134    0.133777-134
    0.202424E-04    0.155000E+00   -0.115976-134    0.135487-134
    0.203077E-04    0.155000E+00   -0.117093-134    0.137218-134
    0.203733E-04    0.155000E+00   -0.118221-134    0.138972-134
    0.204391E-04    0.155000E+00   -0.119361-134    0.140748-134
    0.205051E-04    0.155000E+00   -0.120511-134    0.142546-134
    0.205713E-04    0.155000E+00   -0.121672-134    0.144368-134
    0.206378E-04    0.155000E+00   -0.122844-134    0.146212-134
    0.207044E-04    0.155000E+00   -0.124028-134    0.148081-134
    0.207713E-04    0.155000E+00   -0.125222-134    0.149973-134
    0.208384E-04    0.155000E+00   -0.126429-134    0.151889-134
    0.209057E-04    0.155000E+00   -0.127647-134    0.153829-134
    0.209732E-04    0.155000E+00   -0.128877-134    0.155794-134
    0.210409E-04    0.155000E+00   -0.130118-134    0.157784-134
    0.211089E-04    0.155000E+00   -0.131371-134    0.159799-134
    0.211770E-04    0.155000E+00   -0.132637-134    0.161841-134
    0.212454E-04    0.155000E+00   -0.133914-134    0.163908-134
    0.213140E-04    0.155000E+00   -0.135204-134    0.166001-134
    0.213829E-04    0.155000E+00   -0.136507-134    0.168121-134
    0.214519E-04    0.155000E+00   -0.137821-134    0.170268-134
    0.215212E-04    0.155000E+00   -0.139149-134    0.172442-134
    0.215907E-04    0.155000E+00   -0.140489-134    0.174644-134
    0.216604E-04    0.155000E+00   -0.141842-134    0.176874-134
    0.217304E-04    0.155000E+00   -0.143208-134    0.179132-134
    0.218006E-04    0.155000E+00   -0.144587-134    0.181419-134
    0.218710E-04    0.155000E+00   -0.145979-134    0.183735-134
    0.219416E-04    0.155000E+00   -0.147385-134    0.186080-134
    0.220125E-04    0.155000E+00   -0.148804-134    0.188456-134
    0.220835E-04    0.155000E+00   -0.150237-134    0.190861-134
    0.221549E-04    0.155000E+00   -0.151684-134    0.193297-134
    0.222264E-04    0.155000E+00   -0.153144-134    0.195764-134
    0.222982E-04    0.155000E+00   -0.154619-134    0.198263-134
    0.223702E-04    0.155000E+00   -0.156107-134    0.200793-134
    0.224424E-04    0.155000E+00   -0.157610-134    0.203355-134
    0.225149E-04    0.155000E+00   -0.159128-134    0.205950-134
    0.225876E-04    0.155000E+00   -0.160660-134    0.208578-134
    0.226606E-04    0.155000E+00   -0.162206-134    0.211239-134
    0.227338E-04    0.155000E+00   -0.163768-134    0.213934-134
    0.228072E-04    0.155000E+00   -0.165344-134    0.216663-134
    0.228808E-04    0.155000E+00   -0.166936-134    0.219427-134
    0.229547E-04    0.155000E+00   -0.168543-134    0.222227-134
    0.230289E-04    0.155000E+00   -0.170165-134    0.225061-134
    0.231032E-04    0.155000E+00   -0.171803-134    0.227932-134
    0.231778E-04    0.155000E+00   -0.173457-134    0.230839-134
    0.232527E-04    0.155000E+00   -0.175126-134    0.233783-134
    0.233278E-04    0.155000E+00   -0.176811-134    0.236764-134
    0.234031E-04    0.155000E+00   -0.178513-134    0.239784-134
    0.234787E-04    0.155000E+00   -0.180231-134    0.242841-134
    0.235545E-04    0.155000E+00   -0.181965-134    0.245938-134
    0.236306E-04    0.155000E+00   -0.183717-134    0.249073-134
    0.237069E-04    0.155000E+00   -0.185484-134    0.252249-134
    0.237835E-04    0.155000E+00   -0.187269-134    0.255465-134
    0.238603E-04    0.155000E+00   -0.189071-134    0.258722-134
    0.239373E-04    0.155000E+00   -0.190890-134    0.262020-134
    0.240146E-04    0.155000E+00   -0.192727-134    0.265359-134
    0.240922E-04    0.155000E+00   -0.194581-134    0.268742-134
    0.241700E-04    0.155000E+00   -0.196454-134    0.272167-134
    0.242481E-04    0.155000E+00   -0.198344-134    0.275636-134
    0.243264E-04    0.155000E+00   -0.200252-134    0.279148-134
    0.244049E-04    0.155000E+00   -0.202178-134    0.282705-134
    0.244837E-04    0.155000E+00   -0.204123-134    0.286308-134
    0.245628E-04    0.155000E+00   -0.206087-134    0.289956-134
    0.246421E-04    0.155000E+00   -0.208069-134    0.293650-134
    0.247217E-04    0.155000E+00   -0.210070-134    0.297391-134
    0.248016E-04    0.155000E+00   -0.212091-134    0.301180-134
    0.248816E-04    0.155000E+00   -0.214131-134    0.305017-134
    0.249620E-04    0.155000E+00   -0.216191-134    0.308902-134
    0.250426E-04    0.155000E+00   -0.218270-134    0.312837-134
    0.251235E-04    0.155000E+00   -0.220369-134    0.316821-134
    0.252046E-04    0.155000E+00   -0.222488-134    0.320856-134
    0.252860E-04    0.155000E+00   -0.224628-134    0.324942-134
    0.253677E-04    0.155000E+00   -0.226788-134    0.329080-134
    0.254496E-04    0.155000E+00   -0.228969-134    0.333271-134
    0.255318E-04    0.155000E+00   -0.231171-134    0.337514-134
    0.256143E-04    0.155000E+00   -0.233393-134    0.341812-134
    0.256970E-04    0.155000E+00   -0.235638-134    0.346164-134
    0.257800E-04    0.155000E+00   -0.237903-134    0.350570-134
    0.258632E-04    0.155000E+00   -0.240191-134    0.355033-134
    0.259467E-04    0.155000E+00   -0.242500-134    0.359553-134
    0.260305E-04    0.155000E+00   -0.244831-134    0.364129-134
    0.261146E-04    0.155000E+00   -0.247185-134    0.368764-134
    0.261989E-04    0.155000E+00   -0.249561-134    0.373457-134
    0.262835E-04    0.155000E+00   -0.251960-134    0.378210-134
    0.263684E-04    0.155000E+00   -0.254382-134    0.383023-134
    0.264536E-04    0.155000E+00   -0.256827-134    0.387897-134
    0.265390E-04    0.155000E+00   -0.259296-134    0.392832-134
    0.266247E-04    0.155000E+00   -0.261788-134    0.397830-134
    0.267107E-04    0.155000E+00   -0.264305-134    0.402892-134
    0.267970E-04    0.155000E+00   -0.266845-134    0.408017-134
    0.268835E-04    0.155000E+00   -0.269409-134    0.413208-134
    0.269703E-04    0.155000E+00   -0.271999-134    0.418464-134
    0.270574E-04    0.155000E+00   -0.274612-134    0.423786-134
    0.271448E-04    0.155000E+00   -0.277251-134    0.429176-134
    0.272325E-04    0.155000E+00   -0.279916-134    0.434635-134
    0.273204E-04    0.155000E+00   -0.282605-134    0.440162-134
    0.274086E-04    0.155000E+00   -0.285321-134    0.445759-134
    0.274972E-04    0.155000E+00   -0.288062-134    0.451427-134
    0.275860E-04    0.155000E+00   -0.290830-134    0.457167-134
    0.276751E-04    0.155000E+00   -0.293624-134    0.462979-134
    0.277644E-04    0.155000E+00   -0.296445-134    0.468865-134
    0.278541E-04    0.155000E+00   -0.299293-134    0.474826-134
    0.279440E-04    0.155000E+00   -0.302168-134    0.480861-134
    0.280343E-04    0.155000E+00   -0.305071-134    0.486974-134
    0.281248E-04    0.155000E+00   -0.308002-134    0.493163-134
    0.282157E-04    0.155000E+00   -0.310960-134    0.499431-134
    0.283068E-04    0.155000E+00   -0.313947-134    0.505778-134
    0.283982E-04    0.155000E+00   -0.316963-134    0.512205-134
    0.284899E-04    0.155000E+00   -0.320007-134    0.518713-134
    0.285819E-04    0.155000E+00   -0.323081-134    0.525304-134
    0.286742E-04    0.155000E+00   -0.326183-134    0.531978-134
    0.287668E-04    0.155000E+00   -0.329316-134    0.538737-134
    0.288597E-04    0.155000E+00   -0.332479-134    0.545580-134
    0.289529E-04    0.155000E+00   -0.335671-134    0.552511-134
    0.290464E-04    0.155000E+00   -0.338895-134    0.559529-134
    0.291402E-04    0.155000E+00   -0.342149-134    0.566635-134
    0.292343E-04    0.155000E+00   -0.345434-134    0.573832-134
    0.293287E-04    0.155000E+00   -0.348751-134    0.581119-134
    0.294235E-04    0.155000E+00   -0.352099-134    0.588498-134
    0.295185E-04    0.155000E+00   -0.355480-134    0.595971-134
    0.296138E-04    0.155000E+00   -0.358892-134    0.603538-134
    0.297094E-04    0.155000E+00   -0.362338-134    0.611200-134
    0.298054E-04    0.155000E+00   -0.365816-134    0.618960-134
    0.299016E-04    0.155000E+00   -0.369328-134    0.626817-134
    0.299982E-04    0.155000E+00   -0.372873-134    0.634774-134
    0.300951E-04    0.155000E+00   -0.376452-134    0.642831-134
    0.301923E-04    0.155000E+00   -0.380066-134    0.650989-134
    0.302898E-04    0.155000E+00   -0.383713-134    0.659251-134
    0.303876E-04    0.155000E+00   -0.387396-134    0.667617-134
    0.304857E-04    0.155000E+00   -0.391114-134    0.676089-134
    0.305842E-04    0.155000E+00   -0.394868-134    0.684667-134
    0.306830E-04    0.155000E+00   -0.398657-134    0.693354-134
    0.307821E-04    0.155000E+00   -0.402483-134    0.702150-134
    0.308815E-04    0.155000E+00   -0.406345-134    0.711058-134
    0.309812E-04    0.155000E+00   -0.410244-134    0.720077-134
    0.310813E-04    0.155000E+00   -0.414180-134    0.729211-134
    0.311816E-04    0.155000E+00   -0.418154-134    0.738460-134
    0.312823E-04    0.155000E+00   -0.422166-134    0.747825-134
    0.313834E-04    0.155000E+00   -0.426216-134    0.757309-134
    0.314847E-04    0.155000E+00   -0.430305-134    0.766912-134
    0.315864E-04    0.155000E+00   -0.434433-134    0.776636-134
    0.316884E-04    0.155000E+00   -0.438601-134    0.786483-134
    0.317907E-04    0.155000E+00   -0.442808-134    0.796454-134
    0.318934E-04    0.155000E+00   -0.447055-134    0.806551-134
    0.319964E-04    0.155000E+00   -0.451343-134    0.816775-134
    0.320997E-04    0.155000E+00   -0.455672-134    0.827128-134
    0.322034E-04    0.155000E+00   -0.460043-134    0.837611-134
    0.323074E-04    0.155000E+00   -0.464455-134    0.848227-134
    0.324117E-04    0.155000E+00   -0.468909-134    0.858976-134
    0.325164E-04    0.155000E+00   -0.473406-134    0.869861-134
    0.326214E-04    0.155000E+00   -0.477945-134    0.880882-134
    0.327268E-04    0.155000E+00   -0.482528-134    0.892043-134
    0.328324E-04    0.155000E+00   -0.487155-134    0.903344-134
