#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    21   0.921815E+03   0.137088E+01   0.166689E-02   0.137088E+01   0.612254E-02   0.214459E-07   0.166689E-02   0.214459E-07   0.129927E-06
    22   0.935678E+03   0.144739E+01   0.161716E-02   0.144739E+01   0.724754E-02  -0.229238E-06   0.161716E-02  -0.229238E-06   0.131044E-06
    23   0.949654E+03   0.152494E+01   0.156975E-02   0.152494E+01   0.851076E-02  -0.454845E-06   0.156975E-02  -0.454845E-06   0.132030E-06
    24   0.964060E+03   0.159944E+01   0.152458E-02   0.159944E+01   0.990858E-02  -0.618819E-06   0.152458E-02  -0.618819E-06   0.132891E-06
    25   0.979024E+03   0.166368E+01   0.148152E-02   0.166368E+01   0.114465E-01  -0.733329E-06   0.148152E-02  -0.733329E-06   0.133638E-06
    26   0.994049E+03   0.172200E+01   0.144040E-02   0.172200E+01   0.131381E-01  -0.807244E-06   0.144040E-02  -0.807244E-06   0.134283E-06
    27   0.100955E+04   0.177502E+01   0.140091E-02   0.177502E+01   0.149947E-01  -0.787529E-06   0.140091E-02  -0.787529E-06   0.134834E-06
    28   0.102535E+04   0.181771E+01   0.136277E-02   0.181771E+01   0.170108E-01  -0.631299E-06   0.136277E-02  -0.631299E-06   0.135298E-06
    29   0.104138E+04   0.185538E+01   0.132624E-02   0.185538E+01   0.192139E-01  -0.398190E-06   0.132624E-02  -0.398190E-06   0.135675E-06
    30   0.105783E+04   0.188166E+01   0.129159E-02   0.188166E+01   0.216330E-01  -0.177097E-06   0.129159E-02  -0.177097E-06   0.135967E-06
    31   0.107409E+04   0.190709E+01   0.125863E-02   0.190709E+01   0.242607E-01  -0.714395E-07   0.125863E-02  -0.714395E-07   0.136183E-06
    32   0.109096E+04   0.192626E+01   0.122709E-02   0.192626E+01   0.271099E-01  -0.154650E-06   0.122709E-02  -0.154650E-06   0.136337E-06
    33   0.110790E+04   0.193744E+01   0.119680E-02   0.193744E+01   0.301431E-01  -0.365699E-06   0.119680E-02  -0.365699E-06   0.136430E-06
    34   0.112492E+04   0.194165E+01   0.116758E-02   0.194165E+01   0.333894E-01  -0.606554E-06   0.116758E-02  -0.606554E-06   0.136467E-06
    35   0.114258E+04   0.193017E+01   0.113926E-02   0.193017E+01   0.368568E-01  -0.765622E-06   0.113926E-02  -0.765622E-06   0.136451E-06
    36   0.115997E+04   0.191362E+01   0.111177E-02   0.191362E+01   0.405739E-01  -0.758875E-06   0.111177E-02  -0.758875E-06   0.136385E-06
    37   0.117763E+04   0.188586E+01   0.108546E-02   0.188586E+01   0.445629E-01  -0.626080E-06   0.108546E-02  -0.626080E-06   0.136274E-06
    38   0.119567E+04   0.184855E+01   0.106066E-02   0.184855E+01   0.488092E-01  -0.435605E-06   0.106066E-02  -0.435605E-06   0.136121E-06
    39   0.121399E+04   0.180152E+01   0.103715E-02   0.180152E+01   0.533034E-01  -0.246415E-06   0.103715E-02  -0.246415E-06   0.135927E-06
    40   0.123249E+04   0.174315E+01   0.101453E-02   0.174315E+01   0.580398E-01  -0.115125E-06   0.101453E-02  -0.115125E-06   0.135695E-06
