#    L    TT             EE             BB             TE          
    91   0.244111E+04   0.646094E+00   0.254088E-02  -0.176028E+02
    92   0.247064E+04   0.661710E+00   0.259742E-02  -0.182444E+02
    93   0.250039E+04   0.677289E+00   0.265463E-02  -0.188902E+02
    94   0.253035E+04   0.692818E+00   0.271250E-02  -0.195402E+02
    95   0.256055E+04   0.708283E+00   0.277105E-02  -0.201937E+02
    96   0.259097E+04   0.723669E+00   0.283026E-02  -0.208504E+02
    97   0.262161E+04   0.738962E+00   0.289016E-02  -0.215097E+02
    98   0.265248E+04   0.754144E+00   0.295075E-02  -0.221712E+02
    99   0.268356E+04   0.769204E+00   0.301201E-02  -0.228344E+02
   100   0.271487E+04   0.784128E+00   0.307397E-02  -0.234988E+02
   101   0.274639E+04   0.798902E+00   0.313662E-02  -0.241638E+02
   102   0.277813E+04   0.813503E+00   0.319997E-02  -0.248292E+02
   103   0.281007E+04   0.827932E+00   0.326403E-02  -0.254940E+02
   104   0.284221E+04   0.842158E+00   0.332879E-02  -0.261581E+02
   105   0.287454E+04   0.856175E+00   0.339426E-02  -0.268206E+02
   106   0.290706E+04   0.869968E+00   0.346044E-02  -0.274811E+02
   107   0.293976E+04   0.883528E+00   0.352734E-02  -0.281389E+02
   108   0.297263E+04   0.896835E+00   0.359497E-02  -0.287936E+02
   109   0.300566E+04   0.909880E+00   0.366332E-02  -0.294444E+02
   110   0.303885E+04   0.922641E+00   0.373241E-02  -0.300909E+02
   111   0.307220E+04   0.935110E+00   0.380223E-02  -0.307326E+02
   112   0.310569E+04   0.947281E+00   0.387280E-02  -0.313687E+02
   113   0.313932E+04   0.959132E+00   0.394410E-02  -0.319988E+02
   114   0.317308E+04   0.970646E+00   0.401616E-02  -0.326223E+02
   115   0.320697E+04   0.981824E+00   0.408898E-02  -0.332386E+02
   116   0.324098E+04   0.992652E+00   0.416255E-02  -0.338471E+02
   117   0.327511E+04   0.100311E+01   0.423689E-02  -0.344473E+02
   118   0.330934E+04   0.101319E+01   0.431200E-02  -0.350385E+02
   119   0.334366E+04   0.102288E+01   0.438789E-02  -0.356203E+02
   120   0.337808E+04   0.103218E+01   0.446455E-02  -0.361921E+02
   121   0.341257E+04   0.104107E+01   0.454200E-02  -0.367533E+02
   122   0.344713E+04   0.104954E+01   0.462025E-02  -0.373033E+02
   123   0.348176E+04   0.105758E+01   0.469929E-02  -0.378416E+02
   124   0.351645E+04   0.106519E+01   0.477913E-02  -0.383676E+02
   125   0.355118E+04   0.107235E+01   0.485978E-02  -0.388809E+02
   126   0.358594E+04   0.107906E+01   0.494125E-02  -0.393808E+02
   127   0.362074E+04   0.108532E+01   0.502354E-02  -0.398667E+02
   128   0.365555E+04   0.109111E+01   0.510665E-02  -0.403383E+02
   129   0.369037E+04   0.109642E+01   0.519060E-02  -0.407950E+02
   130   0.372520E+04   0.110126E+01   0.527539E-02  -0.412361E+02
   131   0.376001E+04   0.110560E+01   0.536102E-02  -0.416612E+02
   132   0.379482E+04   0.110947E+01   0.544750E-02  -0.420699E+02
   133   0.382959E+04   0.111284E+01   0.553484E-02  -0.424615E+02
   134   0.386434E+04   0.111572E+01   0.562305E-02  -0.428357E+02
   135   0.389904E+04   0.111810E+01   0.571213E-02  -0.431920E+02
   136   0.393370E+04   0.111999E+01   0.580209E-02  -0.435299E+02
   137   0.396830E+04   0.112138E+01   0.589293E-02  -0.438489E+02
   138   0.400284E+04   0.112227E+01   0.598466E-02  -0.441486E+02
   139   0.403730E+04   0.112266E+01   0.607729E-02  -0.444287E+02
   140   0.407169E+04   0.112255E+01   0.617083E-02  -0.446886E+02
   141   0.410598E+04   0.112196E+01   0.626527E-02  -0.449280E+02
   142   0.414018E+04   0.112088E+01   0.636063E-02  -0.451464E+02
   143   0.417427E+04   0.111930E+01   0.645692E-02  -0.453435E+02
   144   0.420825E+04   0.111725E+01   0.655413E-02  -0.455190E+02
   145   0.424210E+04   0.111470E+01   0.665228E-02  -0.456722E+02
   146   0.427581E+04   0.111169E+01   0.675137E-02  -0.458030E+02
   147   0.430935E+04   0.110821E+01   0.685141E-02  -0.459107E+02
   148   0.434272E+04   0.110427E+01   0.695240E-02  -0.459952E+02
   149   0.437591E+04   0.109987E+01   0.705434E-02  -0.460560E+02
   150   0.440890E+04   0.109503E+01   0.715725E-02  -0.460925E+02
   151   0.444166E+04   0.108976E+01   0.726113E-02  -0.461047E+02
   152   0.447421E+04   0.108405E+01   0.736598E-02  -0.460921E+02
   153   0.450653E+04   0.107793E+01   0.747181E-02  -0.460545E+02
   154   0.453862E+04   0.107141E+01   0.757862E-02  -0.459917E+02
   155   0.457046E+04   0.106450E+01   0.768641E-02  -0.459034E+02
   156   0.460208E+04   0.105721E+01   0.779518E-02  -0.457894E+02
   157   0.463344E+04   0.104955E+01   0.790495E-02  -0.456495E+02
   158   0.466455E+04   0.104155E+01   0.801572E-02  -0.454834E+02
   159   0.469540E+04   0.103321E+01   0.812747E-02  -0.452909E+02
   160   0.472597E+04   0.102455E+01   0.824023E-02  -0.450720E+02
   161   0.475625E+04   0.101559E+01   0.835398E-02  -0.448262E+02
   162   0.478623E+04   0.100635E+01   0.846874E-02  -0.445535E+02
   163   0.481590E+04   0.996847E+00   0.858449E-02  -0.442536E+02
   164   0.484524E+04   0.987091E+00   0.870124E-02  -0.439265E+02
   165   0.487424E+04   0.977105E+00   0.881900E-02  -0.435719E+02
   166   0.490289E+04   0.966911E+00   0.893775E-02  -0.431897E+02
   167   0.493119E+04   0.956532E+00   0.905751E-02  -0.427798E+02
   168   0.495912E+04   0.945992E+00   0.917826E-02  -0.423422E+02
   169   0.498668E+04   0.935314E+00   0.930001E-02  -0.418769E+02
   170   0.501386E+04   0.924513E+00   0.942275E-02  -0.413837E+02
   171   0.504064E+04   0.913620E+00   0.954648E-02  -0.408627E+02
   172   0.506703E+04   0.902659E+00   0.967120E-02  -0.403137E+02
   173   0.509301E+04   0.891652E+00   0.979690E-02  -0.397368E+02
   174   0.511858E+04   0.880622E+00   0.992358E-02  -0.391320E+02
   175   0.514372E+04   0.869609E+00   0.100512E-01  -0.384994E+02
   176   0.516843E+04   0.858627E+00   0.101799E-01  -0.378389E+02
   177   0.519269E+04   0.847714E+00   0.103095E-01  -0.371506E+02
   178   0.521650E+04   0.836895E+00   0.104400E-01  -0.364346E+02
   179   0.523985E+04   0.826193E+00   0.105715E-01  -0.356908E+02
   180   0.526274E+04   0.815646E+00   0.107040E-01  -0.349196E+02
   181   0.528516E+04   0.805286E+00   0.108374E-01  -0.341210E+02
   182   0.530709E+04   0.795142E+00   0.109717E-01  -0.332952E+02
   183   0.532854E+04   0.785240E+00   0.111069E-01  -0.324423E+02
   184   0.534949E+04   0.775616E+00   0.112431E-01  -0.315626E+02
   185   0.536994E+04   0.766310E+00   0.113802E-01  -0.306560E+02
   186   0.538988E+04   0.757345E+00   0.115182E-01  -0.297230E+02
   187   0.540931E+04   0.748752E+00   0.116570E-01  -0.287636E+02
   188   0.542822E+04   0.740574E+00   0.117968E-01  -0.277781E+02
   189   0.544660E+04   0.732841E+00   0.119374E-01  -0.267668E+02
   190   0.546444E+04   0.725590E+00   0.120789E-01  -0.257300E+02
   191   0.548174E+04   0.718854E+00   0.122213E-01  -0.246679E+02
   192   0.549848E+04   0.712669E+00   0.123645E-01  -0.235807E+02
   193   0.551467E+04   0.707069E+00   0.125085E-01  -0.224688E+02
   194   0.553030E+04   0.702091E+00   0.126533E-01  -0.213325E+02
   195   0.554536E+04   0.697772E+00   0.127990E-01  -0.201721E+02
   196   0.555985E+04   0.694149E+00   0.129455E-01  -0.189882E+02
   197   0.557378E+04   0.691260E+00   0.130928E-01  -0.177809E+02
   198   0.558714E+04   0.689141E+00   0.132408E-01  -0.165508E+02
   199   0.559991E+04   0.687830E+00   0.133896E-01  -0.152982E+02
   200   0.561210E+04   0.687363E+00   0.135392E-01  -0.140235E+02
   201   0.562371E+04   0.687779E+00   0.136895E-01  -0.127271E+02
   202   0.563473E+04   0.689113E+00   0.138406E-01  -0.114095E+02
   203   0.564512E+04   0.691402E+00   0.139924E-01  -0.100711E+02
   204   0.565491E+04   0.694682E+00   0.141449E-01  -0.871229E+01
   205   0.566405E+04   0.698990E+00   0.142981E-01  -0.733360E+01
   206   0.567257E+04   0.704361E+00   0.144519E-01  -0.593542E+01
   207   0.568044E+04   0.710832E+00   0.146065E-01  -0.451815E+01
   208   0.568766E+04   0.718440E+00   0.147617E-01  -0.308242E+01
   209   0.569425E+04   0.727219E+00   0.149175E-01  -0.162878E+01
   210   0.570021E+04   0.737207E+00   0.150740E-01  -0.157806E+00
   211   0.570553E+04   0.748440E+00   0.152311E-01   0.132992E+01
   212   0.571024E+04   0.760953E+00   0.153888E-01   0.283382E+01
   213   0.571434E+04   0.774783E+00   0.155471E-01   0.435333E+01
   214   0.571783E+04   0.789968E+00   0.157060E-01   0.588785E+01
   215   0.572072E+04   0.806535E+00   0.158654E-01   0.743679E+01
   216   0.572298E+04   0.824530E+00   0.160254E-01   0.899953E+01
   217   0.572462E+04   0.843982E+00   0.161859E-01   0.105754E+02
   218   0.572564E+04   0.864919E+00   0.163469E-01   0.121640E+02
   219   0.572604E+04   0.887387E+00   0.165084E-01   0.137644E+02
   220   0.572580E+04   0.911414E+00   0.166704E-01   0.153763E+02
   221   0.572493E+04   0.937029E+00   0.168329E-01   0.169987E+02
   222   0.572342E+04   0.964277E+00   0.169958E-01   0.186314E+02
   223   0.572128E+04   0.993178E+00   0.171591E-01   0.202733E+02
   224   0.571851E+04   0.102377E+01   0.173229E-01   0.219241E+02
   225   0.571512E+04   0.105607E+01   0.174870E-01   0.235828E+02
   226   0.571109E+04   0.109013E+01   0.176515E-01   0.252489E+02
   227   0.570644E+04   0.112598E+01   0.178164E-01   0.269216E+02
   228   0.570117E+04   0.116363E+01   0.179816E-01   0.286003E+02
   229   0.569527E+04   0.120312E+01   0.181472E-01   0.302842E+02
   230   0.568876E+04   0.124449E+01   0.183131E-01   0.319728E+02
   231   0.568162E+04   0.128774E+01   0.184792E-01   0.336652E+02
   232   0.567388E+04   0.133292E+01   0.186456E-01   0.353607E+02
   233   0.566552E+04   0.138005E+01   0.188122E-01   0.370585E+02
   234   0.565655E+04   0.142915E+01   0.189791E-01   0.387580E+02
   235   0.564697E+04   0.148025E+01   0.191462E-01   0.404585E+02
   236   0.563678E+04   0.153338E+01   0.193135E-01   0.421591E+02
   237   0.562600E+04   0.158856E+01   0.194809E-01   0.438592E+02
   238   0.561462E+04   0.164580E+01   0.196484E-01   0.455579E+02
   239   0.560265E+04   0.170512E+01   0.198161E-01   0.472547E+02
   240   0.559008E+04   0.176656E+01   0.199839E-01   0.489484E+02
   241   0.557693E+04   0.183013E+01   0.201518E-01   0.506387E+02
   242   0.556320E+04   0.189584E+01   0.203197E-01   0.523246E+02
   243   0.554889E+04   0.196372E+01   0.204877E-01   0.540054E+02
   244   0.553401E+04   0.203379E+01   0.206557E-01   0.556803E+02
   245   0.551856E+04   0.210606E+01   0.208237E-01   0.573487E+02
   246   0.550257E+04   0.218053E+01   0.209916E-01   0.590098E+02
   247   0.548602E+04   0.225723E+01   0.211595E-01   0.606628E+02
