#    L    TT             EE             TE             PP             TP          
    75   0.199634E+04   0.400980E+00  -0.827735E+01   0.528436E+07   0.894420E+04
    76   0.202232E+04   0.415328E+00  -0.879338E+01   0.525570E+07   0.881721E+04
    77   0.204848E+04   0.429842E+00  -0.931971E+01   0.522695E+07   0.869381E+04
    78   0.207482E+04   0.444511E+00  -0.985588E+01   0.519811E+07   0.857366E+04
    79   0.210138E+04   0.459323E+00  -0.104017E+02   0.516921E+07   0.845641E+04
    80   0.212818E+04   0.474267E+00  -0.109573E+02   0.514027E+07   0.834170E+04
    81   0.215524E+04   0.489330E+00  -0.115224E+02   0.511132E+07   0.822919E+04
    82   0.218257E+04   0.504502E+00  -0.120965E+02   0.508236E+07   0.811858E+04
    83   0.221015E+04   0.519771E+00  -0.126795E+02   0.505341E+07   0.800960E+04
    84   0.223798E+04   0.535126E+00  -0.132708E+02   0.502448E+07   0.790197E+04
    85   0.226606E+04   0.550554E+00  -0.138703E+02   0.499559E+07   0.779541E+04
    86   0.229436E+04   0.566045E+00  -0.144774E+02   0.496675E+07   0.768975E+04
    87   0.232287E+04   0.581586E+00  -0.150915E+02   0.493797E+07   0.758525E+04
    88   0.235156E+04   0.597164E+00  -0.157122E+02   0.490926E+07   0.748230E+04
    89   0.238045E+04   0.612766E+00  -0.163389E+02   0.488062E+07   0.738125E+04
    90   0.240954E+04   0.628374E+00  -0.169713E+02   0.485206E+07   0.728248E+04
    91   0.243883E+04   0.643976E+00  -0.176088E+02   0.482360E+07   0.718629E+04
    92   0.246834E+04   0.659557E+00  -0.182512E+02   0.479523E+07   0.709266E+04
    93   0.249806E+04   0.675100E+00  -0.188979E+02   0.476696E+07   0.700150E+04
    94   0.252801E+04   0.690595E+00  -0.195488E+02   0.473879E+07   0.691271E+04
    95   0.255819E+04   0.706024E+00  -0.202033E+02   0.471072E+07   0.682621E+04
    96   0.258859E+04   0.721375E+00  -0.208610E+02   0.468277E+07   0.674189E+04
    97   0.261922E+04   0.736631E+00  -0.215214E+02   0.465493E+07   0.665966E+04
    98   0.265008E+04   0.751779E+00  -0.221840E+02   0.462720E+07   0.657944E+04
    99   0.268115E+04   0.766802E+00  -0.228484E+02   0.459960E+07   0.650113E+04
   100   0.271244E+04   0.781690E+00  -0.235140E+02   0.457212E+07   0.642463E+04
   101   0.274395E+04   0.796427E+00  -0.241803E+02   0.454477E+07   0.634985E+04
   102   0.277568E+04   0.810991E+00  -0.248470E+02   0.451754E+07   0.627670E+04
   103   0.280761E+04   0.825382E+00  -0.255133E+02   0.449046E+07   0.620509E+04
   104   0.283974E+04   0.839571E+00  -0.261788E+02   0.446351E+07   0.613491E+04
   105   0.287207E+04   0.853550E+00  -0.268428E+02   0.443670E+07   0.606609E+04
   106   0.290459E+04   0.867303E+00  -0.275048E+02   0.441004E+07   0.599852E+04
   107   0.293729E+04   0.880825E+00  -0.281642E+02   0.438353E+07   0.593211E+04
   108   0.297016E+04   0.894091E+00  -0.288206E+02   0.435717E+07   0.586677E+04
   109   0.300319E+04   0.907095E+00  -0.294731E+02   0.433097E+07   0.580241E+04
   110   0.303639E+04   0.919815E+00  -0.301214E+02   0.430493E+07   0.573892E+04
   111   0.306974E+04   0.932243E+00  -0.307649E+02   0.427905E+07   0.567625E+04
   112   0.310324E+04   0.944371E+00  -0.314028E+02   0.425333E+07   0.561436E+04
   113   0.313688E+04   0.956177E+00  -0.320349E+02   0.422778E+07   0.555327E+04
   114   0.317065E+04   0.967646E+00  -0.326603E+02   0.420240E+07   0.549298E+04
   115   0.320455E+04   0.978779E+00  -0.332786E+02   0.417718E+07   0.543350E+04
   116   0.323857E+04   0.989559E+00  -0.338892E+02   0.415212E+07   0.537482E+04
   117   0.327272E+04   0.999965E+00  -0.344915E+02   0.412723E+07   0.531696E+04
   118   0.330696E+04   0.101000E+01  -0.350849E+02   0.410251E+07   0.525991E+04
   119   0.334130E+04   0.101964E+01  -0.356690E+02   0.407796E+07   0.520368E+04
   120   0.337574E+04   0.102889E+01  -0.362431E+02   0.405357E+07   0.514827E+04
   121   0.341026E+04   0.103772E+01  -0.368065E+02   0.402936E+07   0.509370E+04
   122   0.344485E+04   0.104613E+01  -0.373590E+02   0.400531E+07   0.503995E+04
   123   0.347950E+04   0.105412E+01  -0.378997E+02   0.398143E+07   0.498704E+04
   124   0.351421E+04   0.106167E+01  -0.384282E+02   0.395771E+07   0.493497E+04
   125   0.354897E+04   0.106877E+01  -0.389440E+02   0.393417E+07   0.488374E+04
   126   0.358377E+04   0.107542E+01  -0.394464E+02   0.391080E+07   0.483335E+04
   127   0.361860E+04   0.108161E+01  -0.399350E+02   0.388760E+07   0.478382E+04
   128   0.365345E+04   0.108733E+01  -0.404093E+02   0.386457E+07   0.473515E+04
   129   0.368831E+04   0.109258E+01  -0.408686E+02   0.384172E+07   0.468733E+04
   130   0.372318E+04   0.109734E+01  -0.413125E+02   0.381903E+07   0.464037E+04
   131   0.375803E+04   0.110161E+01  -0.417404E+02   0.379652E+07   0.459428E+04
   132   0.379288E+04   0.110540E+01  -0.421518E+02   0.377418E+07   0.454903E+04
   133   0.382770E+04   0.110868E+01  -0.425463E+02   0.375201E+07   0.450459E+04
   134   0.386250E+04   0.111149E+01  -0.429233E+02   0.373001E+07   0.446094E+04
   135   0.389725E+04   0.111378E+01  -0.432826E+02   0.370817E+07   0.441806E+04
   136   0.393196E+04   0.111558E+01  -0.436234E+02   0.368651E+07   0.437593E+04
   137   0.396662E+04   0.111687E+01  -0.439453E+02   0.366501E+07   0.433450E+04
   138   0.400121E+04   0.111767E+01  -0.442480E+02   0.364368E+07   0.429377E+04
   139   0.403573E+04   0.111796E+01  -0.445310E+02   0.362251E+07   0.425370E+04
   140   0.407018E+04   0.111776E+01  -0.447939E+02   0.360150E+07   0.421427E+04
   141   0.410454E+04   0.111706E+01  -0.450364E+02   0.358066E+07   0.417546E+04
   142   0.413880E+04   0.111586E+01  -0.452579E+02   0.355998E+07   0.413724E+04
   143   0.417296E+04   0.111417E+01  -0.454581E+02   0.353946E+07   0.409958E+04
   144   0.420701E+04   0.111200E+01  -0.456366E+02   0.351910E+07   0.406246E+04
   145   0.424093E+04   0.110934E+01  -0.457928E+02   0.349890E+07   0.402586E+04
   146   0.427471E+04   0.110619E+01  -0.459267E+02   0.347886E+07   0.398974E+04
   147   0.430833E+04   0.110259E+01  -0.460375E+02   0.345897E+07   0.395409E+04
   148   0.434178E+04   0.109851E+01  -0.461251E+02   0.343924E+07   0.391888E+04
   149   0.437505E+04   0.109398E+01  -0.461889E+02   0.341967E+07   0.388408E+04
   150   0.440813E+04   0.108899E+01  -0.462285E+02   0.340024E+07   0.384967E+04
   151   0.444098E+04   0.108357E+01  -0.462437E+02   0.338098E+07   0.381563E+04
   152   0.447361E+04   0.107771E+01  -0.462341E+02   0.336186E+07   0.378195E+04
   153   0.450602E+04   0.107143E+01  -0.461995E+02   0.334289E+07   0.374863E+04
   154   0.453820E+04   0.106475E+01  -0.461397E+02   0.332408E+07   0.371566E+04
   155   0.457014E+04   0.105766E+01  -0.460543E+02   0.330541E+07   0.368305E+04
   156   0.460186E+04   0.105020E+01  -0.459432E+02   0.328689E+07   0.365078E+04
   157   0.463332E+04   0.104236E+01  -0.458062E+02   0.326852E+07   0.361887E+04
   158   0.466453E+04   0.103418E+01  -0.456430E+02   0.325030E+07   0.358730E+04
   159   0.469548E+04   0.102565E+01  -0.454533E+02   0.323222E+07   0.355607E+04
   160   0.472616E+04   0.101679E+01  -0.452371E+02   0.321428E+07   0.352519E+04
   161   0.475655E+04   0.100763E+01  -0.449940E+02   0.319649E+07   0.349464E+04
   162   0.478665E+04   0.998173E+00  -0.447240E+02   0.317885E+07   0.346443E+04
   163   0.481643E+04   0.988457E+00  -0.444267E+02   0.316134E+07   0.343455E+04
   164   0.484588E+04   0.978481E+00  -0.441021E+02   0.314398E+07   0.340500E+04
   165   0.487500E+04   0.968268E+00  -0.437499E+02   0.312675E+07   0.337577E+04
   166   0.490377E+04   0.957841E+00  -0.433701E+02   0.310967E+07   0.334688E+04
   167   0.493219E+04   0.947223E+00  -0.429625E+02   0.309272E+07   0.331830E+04
   168   0.496025E+04   0.936438E+00  -0.425272E+02   0.307591E+07   0.329004E+04
   169   0.498793E+04   0.925507E+00  -0.420641E+02   0.305924E+07   0.326211E+04
   170   0.501524E+04   0.914448E+00  -0.415730E+02   0.304271E+07   0.323448E+04
   171   0.504215E+04   0.903291E+00  -0.410540E+02   0.302631E+07   0.320717E+04
   172   0.506868E+04   0.892058E+00  -0.405069E+02   0.301004E+07   0.318017E+04
   173   0.509479E+04   0.880774E+00  -0.399318E+02   0.299391E+07   0.315347E+04
   174   0.512049E+04   0.869460E+00  -0.393287E+02   0.297790E+07   0.312708E+04
   175   0.514577E+04   0.858155E+00  -0.386976E+02   0.296203E+07   0.310099E+04
   176   0.517062E+04   0.846876E+00  -0.380386E+02   0.294629E+07   0.307520E+04
   177   0.519502E+04   0.835659E+00  -0.373517E+02   0.293068E+07   0.304970E+04
   178   0.521897E+04   0.824529E+00  -0.366369E+02   0.291520E+07   0.302449E+04
   179   0.524247E+04   0.813510E+00  -0.358944E+02   0.289985E+07   0.299956E+04
   180   0.526550E+04   0.802639E+00  -0.351241E+02   0.288462E+07   0.297491E+04
   181   0.528806E+04   0.791948E+00  -0.343264E+02   0.286951E+07   0.295052E+04
   182   0.531014E+04   0.781468E+00  -0.335013E+02   0.285453E+07   0.292640E+04
   183   0.533174E+04   0.771222E+00  -0.326490E+02   0.283967E+07   0.290254E+04
   184   0.535284E+04   0.761248E+00  -0.317698E+02   0.282493E+07   0.287892E+04
   185   0.537344E+04   0.751586E+00  -0.308635E+02   0.281031E+07   0.285556E+04
   186   0.539353E+04   0.742258E+00  -0.299307E+02   0.279580E+07   0.283243E+04
   187   0.541311E+04   0.733297E+00  -0.289713E+02   0.278142E+07   0.280953E+04
   188   0.543217E+04   0.724743E+00  -0.279857E+02   0.276715E+07   0.278686E+04
   189   0.545070E+04   0.716630E+00  -0.269741E+02   0.275300E+07   0.276442E+04
   190   0.546869E+04   0.708992E+00  -0.259368E+02   0.273896E+07   0.274218E+04
   191   0.548615E+04   0.701863E+00  -0.248741E+02   0.272503E+07   0.272016E+04
   192   0.550304E+04   0.695279E+00  -0.237861E+02   0.271121E+07   0.269834E+04
   193   0.551938E+04   0.689274E+00  -0.226731E+02   0.269750E+07   0.267672E+04
   194   0.553517E+04   0.683887E+00  -0.215357E+02   0.268391E+07   0.265529E+04
   195   0.555038E+04   0.679153E+00  -0.203740E+02   0.267042E+07   0.263404E+04
   196   0.556503E+04   0.675109E+00  -0.191885E+02   0.265703E+07   0.261297E+04
   197   0.557911E+04   0.671794E+00  -0.179795E+02   0.264375E+07   0.259208E+04
   198   0.559262E+04   0.669246E+00  -0.167475E+02   0.263058E+07   0.257135E+04
   199   0.560555E+04   0.667499E+00  -0.154927E+02   0.261750E+07   0.255079E+04
   200   0.561790E+04   0.666593E+00  -0.142158E+02   0.260453E+07   0.253038E+04
   201   0.562966E+04   0.666565E+00  -0.129169E+02   0.259166E+07   0.251012E+04
   202   0.564082E+04   0.667452E+00  -0.115966E+02   0.257889E+07   0.249001E+04
   203   0.565137E+04   0.669289E+00  -0.102552E+02   0.256622E+07   0.247004E+04
   204   0.566131E+04   0.672115E+00  -0.889328E+01   0.255365E+07   0.245022E+04
   205   0.567060E+04   0.675964E+00  -0.751125E+01   0.254117E+07   0.243055E+04
   206   0.567927E+04   0.680873E+00  -0.610951E+01   0.252879E+07   0.241102E+04
   207   0.568729E+04   0.686880E+00  -0.468848E+01   0.251650E+07   0.239164E+04
   208   0.569465E+04   0.694021E+00  -0.324875E+01   0.250431E+07   0.237240E+04
   209   0.570139E+04   0.702331E+00  -0.179090E+01   0.249221E+07   0.235330E+04
   210   0.570749E+04   0.711847E+00  -0.315504E+00   0.248021E+07   0.233434E+04
   211   0.571296E+04   0.722608E+00   0.117688E+01   0.246830E+07   0.231553E+04
   212   0.571782E+04   0.734647E+00   0.268567E+01   0.245648E+07   0.229685E+04
   213   0.572206E+04   0.748002E+00   0.421028E+01   0.244475E+07   0.227831E+04
   214   0.572569E+04   0.762710E+00   0.575015E+01   0.243311E+07   0.225991E+04
   215   0.572871E+04   0.778801E+00   0.730465E+01   0.242156E+07   0.224164E+04
   216   0.573112E+04   0.796319E+00   0.887319E+01   0.241010E+07   0.222352E+04
   217   0.573289E+04   0.815295E+00   0.104551E+02   0.239872E+07   0.220552E+04
   218   0.573405E+04   0.835758E+00   0.120499E+02   0.238743E+07   0.218766E+04
   219   0.573458E+04   0.857752E+00   0.136569E+02   0.237623E+07   0.216994E+04
   220   0.573447E+04   0.881306E+00   0.152755E+02   0.236511E+07   0.215234E+04
   221   0.573373E+04   0.906451E+00   0.169049E+02   0.235408E+07   0.213488E+04
   222   0.573235E+04   0.933230E+00   0.185448E+02   0.234313E+07   0.211755E+04
   223   0.573034E+04   0.961666E+00   0.201942E+02   0.233226E+07   0.210034E+04
   224   0.572769E+04   0.991796E+00   0.218526E+02   0.232148E+07   0.208327E+04
   225   0.572442E+04   0.102364E+01   0.235192E+02   0.231077E+07   0.206633E+04
