#    L    TT             EE             BB             TE          
    90   0.108597E+03   0.991454E-01   0.673983E-01  -0.251690E+01
    91   0.104991E+03   0.995753E-01   0.672267E-01  -0.248387E+01
    92   0.101451E+03   0.999618E-01   0.670239E-01  -0.244956E+01
    93   0.979789E+02   0.100305E+00   0.667908E-01  -0.241404E+01
    94   0.945736E+02   0.100606E+00   0.665281E-01  -0.237737E+01
    95   0.912359E+02   0.100864E+00   0.662367E-01  -0.233959E+01
    96   0.879661E+02   0.101080E+00   0.659174E-01  -0.230078E+01
    97   0.847644E+02   0.101254E+00   0.655711E-01  -0.226100E+01
    98   0.816313E+02   0.101387E+00   0.651984E-01  -0.222029E+01
    99   0.785670E+02   0.101479E+00   0.648002E-01  -0.217873E+01
   100   0.755719E+02   0.101530E+00   0.643774E-01  -0.213636E+01
   101   0.726462E+02   0.101540E+00   0.639307E-01  -0.209326E+01
   102   0.697904E+02   0.101510E+00   0.634610E-01  -0.204947E+01
   103   0.670047E+02   0.101441E+00   0.629691E-01  -0.200506E+01
   104   0.642894E+02   0.101332E+00   0.624557E-01  -0.196009E+01
   105   0.616450E+02   0.101184E+00   0.619217E-01  -0.191462E+01
   106   0.590716E+02   0.100997E+00   0.613678E-01  -0.186870E+01
   107   0.565697E+02   0.100771E+00   0.607950E-01  -0.182240E+01
   108   0.541395E+02   0.100508E+00   0.602040E-01  -0.177577E+01
   109   0.517814E+02   0.100206E+00   0.595957E-01  -0.172888E+01
   110   0.494956E+02   0.998673E-01   0.589707E-01  -0.168178E+01
   111   0.472824E+02   0.994913E-01   0.583300E-01  -0.163453E+01
   112   0.451410E+02   0.990789E-01   0.576745E-01  -0.158718E+01
   113   0.430703E+02   0.986308E-01   0.570050E-01  -0.153976E+01
   114   0.410695E+02   0.981476E-01   0.563226E-01  -0.149231E+01
   115   0.391376E+02   0.976300E-01   0.556280E-01  -0.144489E+01
   116   0.372737E+02   0.970788E-01   0.549222E-01  -0.139753E+01
   117   0.354766E+02   0.964946E-01   0.542062E-01  -0.135027E+01
   118   0.337456E+02   0.958782E-01   0.534807E-01  -0.130315E+01
   119   0.320797E+02   0.952302E-01   0.527469E-01  -0.125622E+01
   120   0.304779E+02   0.945513E-01   0.520055E-01  -0.120952E+01
   121   0.289391E+02   0.938423E-01   0.512574E-01  -0.116308E+01
   122   0.274626E+02   0.931038E-01   0.505037E-01  -0.111696E+01
   123   0.260473E+02   0.923365E-01   0.497452E-01  -0.107118E+01
   124   0.246923E+02   0.915412E-01   0.489827E-01  -0.102580E+01
   125   0.233965E+02   0.907186E-01   0.482173E-01  -0.980860E+00
   126   0.221591E+02   0.898692E-01   0.474499E-01  -0.936391E+00
   127   0.209791E+02   0.889939E-01   0.466813E-01  -0.892441E+00
   128   0.198555E+02   0.880933E-01   0.459124E-01  -0.849051E+00
   129   0.187874E+02   0.871682E-01   0.451443E-01  -0.806262E+00
   130   0.177738E+02   0.862191E-01   0.443777E-01  -0.764116E+00
   131   0.168137E+02   0.852470E-01   0.436136E-01  -0.722651E+00
   132   0.159058E+02   0.842530E-01   0.428526E-01  -0.681889E+00
   133   0.150488E+02   0.832384E-01   0.420952E-01  -0.641850E+00
   134   0.142413E+02   0.822044E-01   0.413420E-01  -0.602552E+00
